time,bid,ask
0,0.00,0.00
1,0.00,21.90
1,0.00,0.00
1,0.00,24.88
1,24.79,24.88
1,0.00,24.58
2,0.00,24.88
3,0.00,24.89
3,0.00,0.00
3,0.00,24.14
4,0.00,24.33
4,0.00,0.00
4,0.00,20.38
4,0.00,0.00
4,0.00,19.71
4,20.63,0.00
5,0.00,0.00
5,0.00,20.55
5,0.00,0.00
5,0.00,21.83
5,0.00,22.60
5,0.00,23.85
6,0.00,0.00
6,0.00,25.64
68,0.00,0.00
68,0.00,24.73
69,0.00,0.00
69,0.00,21.20
69,0.00,22.89
69,0.00,0.00
69,0.00,23.74
70,0.00,0.00
70,0.00,24.46
71,0.00,0.00
71,0.00,22.64
71,0.00,0.00
71,0.00,20.97
71,0.00,0.00
71,0.00,23.44
71,0.00,0.00
71,0.00,20.07
71,0.00,0.00
71,0.00,20.07
71,0.00,0.00
71,0.00,23.02
71,0.00,0.00
71,0.00,20.47
71,0.00,0.00
71,0.00,20.92
72,0.00,20.48
72,0.00,0.00
72,0.00,19.84
72,0.00,22.71
72,0.00,0.00
72,0.00,23.36
72,0.00,0.00
72,0.00,19.75
72,0.00,0.00
72,0.00,21.47
73,0.00,0.00
73,0.00,21.92
73,0.00,23.67
73,0.00,0.00
73,0.00,23.13
73,0.00,0.00
73,0.00,20.22
73,0.00,0.00
73,0.00,23.68
74,0.00,0.00
74,0.00,20.63
74,0.00,0.00
74,0.00,20.21
74,0.00,0.00
74,0.00,23.31
74,0.00,0.00
74,0.00,23.63
74,0.00,0.00
74,0.00,24.16
75,0.00,0.00
75,0.00,23.31
75,0.00,0.00
75,0.00,24.84
76,0.00,0.00
76,0.00,22.34
76,0.00,24.00
76,0.00,0.00
76,0.00,23.14
77,21.78,23.14
77,21.78,21.94
77,21.78,0.00
77,0.00,0.00
77,0.00,23.99
78,0.00,0.00
78,0.00,24.24
78,23.95,24.24
78,23.95,0.00
78,0.00,0.00
78,0.00,23.62
79,0.00,0.00
79,0.00,21.33
79,0.00,0.00
79,0.00,23.90
79,0.00,26.14
81,0.00,0.00
81,0.00,22.70
82,0.00,0.00
82,0.00,19.98
82,0.00,0.00
82,0.00,24.21
82,0.00,0.00
82,0.00,21.59
82,0.00,0.00
82,0.00,21.85
82,0.00,0.00
82,0.00,21.03
82,21.78,0.00
82,0.00,0.00
82,0.00,23.61
83,0.00,0.00
83,0.00,21.09
83,0.00,0.00
83,0.00,21.55
83,24.19,24.33
83,0.00,24.33
83,0.00,0.00
83,0.00,23.33
83,0.00,0.00
84,0.00,19.42
84,0.00,0.00
84,0.00,18.82
84,0.00,20.67
84,0.00,23.54
84,0.00,0.00
84,0.00,25.42
84,0.00,0.00
84,0.00,21.85
84,0.00,0.00
84,0.00,23.60
85,0.00,0.00
85,0.00,18.78
85,18.39,21.54
85,18.39,0.00
85,0.00,0.00
85,0.00,24.45
85,0.00,0.00
85,0.00,23.57
85,0.00,0.00
85,0.00,22.92
86,0.00,0.00
86,0.00,20.79
86,0.00,0.00
86,0.00,19.72
86,0.00,0.00
86,0.00,24.05
86,0.00,24.38
88,0.00,0.00
