time,open,high,low,close,volume
1970-01-01 00:00:00,100.0,105.23,98.29,98.29,134
1970-01-01 00:00:10,98.09,101.41,95.17,100.41,150
1970-01-01 00:00:20,100.72,108.24,98.09,108.24,134
1970-01-01 00:00:30,109.04,114.46,102.7,112.75,168
1970-01-01 00:00:40,113.21,115.66,100.86,101.78,138
1970-01-01 00:00:50,101.79,118.04,99.18,116.85,151
1970-01-01 00:01:00,117.44,120.77,93.5,120.77,160
1970-01-01 00:01:10,120.46,123.29,88.71,88.71,135
1970-01-01 00:01:20,87.87,128.07,87.17,124.27,186
1970-01-01 00:01:30,122.81,134.47,118.58,118.58,153
1970-01-01 00:01:40,118.02,139.92,114.21,137.29,141
1970-01-01 00:01:50,137.29,141.2,114.17,138.69,126
1970-01-01 00:02:00,136.77,142.74,130.31,131.31,179
1970-01-01 00:02:10,131.31,134.75,125.95,127.75,166
1970-01-01 00:02:20,127.34,137.47,121.55,130.13,166
1970-01-01 00:02:30,131.2,133.33,126.06,126.47,146
1970-01-01 00:02:40,126.47,129.98,124.6,129.98,146
1970-01-01 00:02:50,129.44,137.36,120.49,120.49,159
1970-01-01 00:03:00,121.09,123.41,116.74,120.0,145
1970-01-01 00:03:10,120.0,127.15,111.15,127.15,112
1970-01-01 00:03:20,126.89,130.33,102.73,102.73,176
1970-01-01 00:03:30,102.35,133.56,101.28,102.92,149
1970-01-01 00:03:40,102.16,134.57,97.05,97.05,141
1970-01-01 00:03:50,97.05,138.15,94.73,137.43,162
1970-01-01 00:04:00,137.43,144.36,93.14,93.14,174
1970-01-01 00:04:10,92.83,145.41,89.8,94.23,143
1970-01-01 00:04:20,94.55,100.81,88.19,95.78,176
1970-01-01 00:04:30,95.54,97.62,88.69,89.0,154
1970-01-01 00:04:40,88.46,97.78,86.37,88.23,139
1970-01-01 00:04:50,88.23,92.5,86.11,92.5,158
1970-01-01 00:05:00,92.5,93.34,87.44,92.71,142
1970-01-01 00:05:10,92.76,95.82,88.63,93.64,179
1970-01-01 00:05:20,95.11,98.1,91.03,91.89,133
1970-01-01 00:05:30,91.89,96.31,87.74,95.59,136
1970-01-01 00:05:40,95.59,100.2,86.58,86.64,183
1970-01-01 00:05:50,86.64,105.04,85.44,100.31,159
1970-01-01 00:06:00,100.1,103.49,98.36,101.32,124
1970-01-01 00:06:10,101.33,104.44,97.01,100.52,172
1970-01-01 00:06:20,102.05,109.02,96.43,109.02,159
1970-01-01 00:06:30,108.91,113.5,94.58,113.5,146
1970-01-01 00:06:40,113.5,115.18,88.8,91.83,172
1970-01-01 00:06:50,91.83,96.09,85.33,85.52,148
1970-01-01 00:07:00,85.94,103.29,84.45,100.08,161
1970-01-01 00:07:10,85.1,103.44,82.47,88.78,136
1970-01-01 00:07:20,88.71,91.16,81.39,91.04,172
1970-01-01 00:07:30,91.22,95.01,78.59,94.18,143
1970-01-01 00:07:40,94.18,97.46,78.59,92.21,175
1970-01-01 00:07:50,91.28,99.75,88.07,99.75,136
1970-01-01 00:08:00,99.75,101.98,85.94,101.45,164
1970-01-01 00:08:10,85.83,104.29,82.6,84.46,165
1970-01-01 00:08:20,105.15,112.58,79.7,112.52,122
1970-01-01 00:08:30,113.32,119.0,106.04,117.99,175
1970-01-01 00:08:40,118.94,121.97,109.23,109.23,100
1970-01-01 00:08:50,109.23,121.79,108.23,119.53,203
1970-01-01 00:09:00,119.81,126.72,115.47,115.47,116
1970-01-01 00:09:10,115.47,127.82,113.78,113.78,184
1970-01-01 00:09:20,113.38,118.97,110.04,110.04,129
1970-01-01 00:09:30,110.04,116.98,104.78,105.19,163
1970-01-01 00:09:40,106.56,108.14,99.12,99.63,132
1970-01-01 00:09:50,99.27,103.48,96.97,102.57,152
1970-01-01 00:10:00,102.57,110.47,96.68,109.43,145
1970-01-01 00:10:10,102.85,116.49,99.58,100.46,194
1970-01-01 00:10:20,115.6,131.44,100.34,131.44,142
1970-01-01 00:10:30,131.43,146.96,121.21,146.47,146
1970-01-01 00:10:40,146.48,150.17,135.51,150.04,175
1970-01-01 00:10:50,150.04,159.51,130.36,159.28,161
1970-01-01 00:11:00,158.39,166.59,129.25,129.63,135
1970-01-01 00:11:10,129.0,169.03,125.15,168.16,159
1970-01-01 00:11:20,167.49,180.12,165.38,167.51,169
1970-01-01 00:11:30,167.16,173.33,160.79,164.01,129
1970-01-01 00:11:40,164.01,175.79,159.17,175.79,154
1970-01-01 00:11:50,174.72,185.82,167.55,183.71,168
1970-01-01 00:12:00,179.3,187.41,176.09,182.12,136
1970-01-01 00:12:10,182.12,189.47,182.12,189.47,101
1970-01-01 00:12:20,189.47,208.42,175.01,205.59,245
1970-01-01 00:12:30,196.78,208.43,188.38,189.86,111
1970-01-01 00:12:40,189.86,203.68,182.31,184.11,180
1970-01-01 00:12:50,183.3,195.59,177.09,178.07,116
1970-01-01 00:13:00,177.27,208.94,175.73,202.69,181
1970-01-01 00:13:10,202.69,211.91,195.65,211.13,164
1970-01-01 00:13:20,210.7,216.8,202.78,203.03,132
1970-01-01 00:13:30,203.03,229.36,200.84,203.75,164
1970-01-01 00:13:40,202.09,233.85,194.98,196.89,152
1970-01-01 00:13:50,196.89,242.77,187.68,242.77,192
1970-01-01 00:14:00,242.77,249.7,181.7,248.4,136
1970-01-01 00:14:10,248.74,258.96,237.89,240.15,160
1970-01-01 00:14:20,238.12,247.22,232.6,243.17,174
1970-01-01 00:14:30,243.17,245.4,232.19,244.33,149
1970-01-01 00:14:40,244.33,251.98,218.3,218.97,158
1970-01-01 00:14:50,216.86,226.96,215.13,219.42,134
1970-01-01 00:15:00,219.42,239.47,214.72,234.17,204
1970-01-01 00:15:10,241.16,248.19,223.64,224.39,145
1970-01-01 00:15:20,225.44,241.81,219.7,241.8,127
1970-01-01 00:15:30,241.13,257.46,216.86,249.45,182
1970-01-01 00:15:40,255.4,263.02,237.77,261.54,137
1970-01-01 00:15:50,261.47,271.88,250.4,252.33,165
1970-01-01 00:16:00,252.61,279.91,244.39,277.27,149
1970-01-01 00:16:10,276.32,282.67,231.34,236.12,155
1970-01-01 00:16:20,235.75,256.49,228.56,232.55,177
1970-01-01 00:16:30,231.02,258.1,223.45,229.29,141
1970-01-01 00:16:40,230.09,245.95,229.69,245.95,114
1970-01-01 00:16:50,247.25,255.71,221.21,255.71,192
1970-01-01 00:17:00,252.64,258.1,232.81,234.83,178
1970-01-01 00:17:10,231.8,241.72,219.03,222.33,164
1970-01-01 00:17:20,225.1,236.59,216.25,231.29,139
1970-01-01 00:17:30,232.31,241.17,221.98,238.7,150
1970-01-01 00:17:40,239.63,245.8,218.08,243.04,97
1970-01-01 00:17:50,243.04,246.48,209.3,209.3,215
1970-01-01 00:18:00,209.3,251.42,199.4,199.4,172
1970-01-01 00:18:10,199.92,258.69,195.67,195.67,99
1970-01-01 00:18:20,195.67,259.28,191.24,258.36,172
1970-01-01 00:18:30,258.36,261.46,181.78,183.57,168
1970-01-01 00:18:40,182.74,194.71,174.87,194.12,132
