time,price,fastEma,slowEma
1,91.35,91.35,91.35
2,118.89,91.8953,91.624
3,111.57,92.2849,91.8225
4,118.14,92.7969,92.0844
5,116.95,93.2752,92.3318
6,115.89,93.723,92.5662
7,114.12,94.1269,92.7807
8,114.73,94.5349,92.9991
9,115.02,94.9405,93.2182
10,114.63,95.3304,93.4312
11,114.64,95.7128,93.6423
12,114.55,96.0858,93.8503
13,114.64,96.4532,94.0572
14,114.47,96.81,94.2603
15,114.84,97.167,94.465
16,114.87,97.5176,94.6681
17,114.89,97.8616,94.8693
18,114.57,98.1924,95.0653
19,114.21,98.5096,95.2558
20,114.27,98.8217,95.445
21,113.99,99.1221,95.6295
22,114.06,99.4179,95.8129
23,114.03,99.7072,95.9942
24,114.44,99.999,96.1777
25,114.16,100.279,96.3567
26,114.67,100.564,96.5389
27,114.02,100.831,96.7128
28,113.97,101.091,96.8845
29,114.354,101.354,97.0584
30,114.73,101.618,97.2342
31,114.52,101.874,97.4062
32,114.31,102.12,97.5744
33,114.41,102.364,97.7419
34,114.18,102.598,97.9055
35,114.31,102.83,98.0687
36,114.54,103.061,98.2326
37,114.25,103.283,98.392
38,113.9,103.493,98.5463
39,114.03,103.702,98.7003
40,114.04,103.907,98.853
41,114.04,104.107,99.0041
42,114.08,104.305,99.1541
43,114.01,104.497,99.3019
44,113.94,104.684,99.4476
45,113.97,104.868,99.5921
46,113.82,105.045,99.7337
47,113.81,105.219,99.8737
48,113.62,105.385,100.01
49,113.74,105.55,100.147
50,113.81,105.714,100.283
51,113.53,105.869,100.415
52,113.93,106.028,100.549
53,113.66,106.179,100.68
54,113.38,106.322,100.806
55,114.14,106.477,100.939
56,114.01,106.626,101.069
57,114.03,106.773,101.198
58,114.34,106.923,101.329
59,114.15,107.066,101.456
60,114.38,107.21,101.585
61,114.62,107.357,101.715
62,114.95,107.508,101.846
63,114.95,107.655,101.977
64,116.33,107.827,102.119
65,116.45,107.997,102.262
66,116.52,108.166,102.404
67,116.702,108.335,102.546
68,116.55,108.498,102.685
69,117.05,108.667,102.828
70,117.56,108.843,102.975
71,117.26,109.01,103.117
72,117.62,109.181,103.261
73,118.487,109.365,103.413
