id,time,price,aggressing,aggressingOwner,direction,resting,restingOwner,volume
2,1,100.70,5,TRADER_RANDOM_02,SELL,4,TRADER_RANDOM_08,1
3,1,100.52,8,TRADER_RANDOM_07,BUY,7,TRADER_RANDOM_03,1
4,1,103.44,17,TRADER_FUNDAMENTAL_77,BUY,16,TRADER_FUNDAMENTAL_38,1
5,1,103.50,19,TRADER_FUNDAMENTAL_39,BUY,14,TRADER_FUNDAMENTAL_95,1
6,1,103.41,20,TRADER_FUNDAMENTAL_32,SELL,18,TRADER_FUNDAMENTAL_75,1
7,1,103.69,22,TRADER_FUNDAMENTAL_26,BUY,11,TRADER_FUNDAMENTAL_89,1
8,2,104.04,24,TRADER_RANDOM_08,SELL,23,TRADER_FUNDAMENTAL_61,1
9,2,105.01,25,TRADER_FUNDAMENTAL_44,BUY,9,TRADER_FUNDAMENTAL_19,1
10,2,107.08,31,TRADER_FUNDAMENTAL_78,BUY,26,TRADER_FUNDAMENTAL_47,1
11,3,107.52,36,TRADER_RANDOM_02,SELL,34,TRADER_FUNDAMENTAL_58,1
12,3,107.84,38,TRADER_FUNDAMENTAL_01,BUY,35,TRADER_FUNDAMENTAL_67,1
13,3,108.39,40,TRADER_FUNDAMENTAL_37,BUY,32,TRADER_FUNDAMENTAL_38,1
14,3,108.35,41,TRADER_FUNDAMENTAL_04,SELL,39,TRADER_FUNDAMENTAL_36,1
15,3,109.16,46,TRADER_FUNDAMENTAL_78,BUY,45,TRADER_FUNDAMENTAL_79,1
16,3,108.96,47,TRADER_FUNDAMENTAL_27,SELL,42,TRADER_FUNDAMENTAL_63,1
18,4,109.33,49,TRADER_FUNDAMENTAL_57,BUY,43,TRADER_FUNDAMENTAL_34,1
17,4,109.19,48,TRADER_RANDOM_09,BUY,44,TRADER_FUNDAMENTAL_76,1
19,4,110.02,53,TRADER_FUNDAMENTAL_50,BUY,3,TRADER_FUNDAMENTAL_56,1
20,4,109.66,54,TRADER_FUNDAMENTAL_49,SELL,51,TRADER_FUNDAMENTAL_09,1
21,4,109.53,55,TRADER_FUNDAMENTAL_20,SELL,52,TRADER_RANDOM_00,1
22,4,109.46,56,TRADER_FUNDAMENTAL_96,SELL,50,TRADER_RANDOM_03,1
23,4,107.79,57,TRADER_FUNDAMENTAL_90,SELL,37,TRADER_RANDOM_03,1
24,4,107.20,58,TRADER_FUNDAMENTAL_87,SELL,33,TRADER_FUNDAMENTAL_29,1
25,4,106.38,59,TRADER_FUNDAMENTAL_62,SELL,29,TRADER_FUNDAMENTAL_41,1
