time,bestAskPrice,bestAskVolume,askTotalVolume,bestBidPrice,bestBidVolume,bidTotalVolume,lastTradePrice
0,0.00,0,0,0.00,0,0,100.00
1,0.00,0,0,0.00,0,0,98.75
2,97.05,1,1,0.00,0,0,91.95
3,96.24,1,1,95.71,1,6,95.65
4,95.40,1,5,95.27,1,9,95.37
5,95.73,1,5,95.62,1,14,95.63
6,95.81,1,4,95.73,2,19,95.87
7,95.92,1,6,95.77,1,19,95.77
8,95.98,1,7,95.86,1,18,95.83
9,96.09,1,6,95.89,1,19,95.78
10,96.50,1,2,96.28,1,25,96.42
11,96.04,1,1,95.89,1,19,96.09
12,95.48,1,2,95.47,1,15,95.48
13,95.84,1,2,95.81,1,24,95.64
14,0.00,0,0,95.95,1,30,96.28
15,0.00,0,0,95.81,1,27,95.81
16,96.04,1,2,95.84,1,28,96.13
17,0.00,0,0,95.65,1,24,95.66
18,0.00,0,0,95.49,1,22,95.57
19,0.00,0,0,95.30,1,15,95.31
20,0.00,0,0,97.36,1,13,95.21
21,0.00,0,0,95.16,1,11,95.19
22,0.00,0,0,95.11,2,10,95.73
23,0.00,0,0,94.98,1,8,95.28
24,0.00,0,0,94.97,1,7,95.92
25,95.63,1,1,95.43,1,11,95.11
26,0.00,0,0,94.63,2,5,94.74
27,100.04,1,1,92.67,1,1,91.79
28,92.12,1,3,0.00,0,0,92.67
29,96.74,1,4,96.61,1,5,96.39
30,94.69,1,8,94.43,1,3,94.71
31,94.54,1,11,94.27,1,3,94.45
32,96.39,1,5,95.59,1,11,95.89
33,96.58,1,5,96.38,1,16,96.44
34,96.15,1,10,96.08,1,14,96.11
35,96.51,1,8,96.22,1,18,96.33
36,96.35,1,8,96.05,1,19,96.13
37,96.44,1,5,95.99,1,17,96.00
38,96.46,1,6,96.36,1,22,96.39
39,96.73,1,4,96.50,1,25,96.51
40,96.53,1,6,96.36,1,25,96.40
41,96.68,1,8,96.45,1,28,96.51
42,96.41,1,9,96.16,1,25,96.40
43,96.88,1,5,96.84,1,28,96.79
44,96.43,1,7,96.38,1,27,96.42
45,96.46,1,8,96.13,1,25,96.40
46,96.69,1,8,96.61,1,25,96.13
47,96.17,1,10,96.07,1,25,96.11
48,96.18,1,12,95.95,2,24,96.02
49,96.08,1,11,95.95,1,26,96.17
50,96.30,1,12,96.06,1,27,96.28
51,96.07,1,17,95.99,1,29,95.90
52,95.89,1,19,95.87,1,29,95.88
53,95.90,1,21,95.86,1,29,95.88
54,96.04,1,19,95.98,1,28,95.99
55,96.24,1,16,95.82,2,27,95.83
56,96.43,1,12,96.38,1,32,96.42
57,96.41,1,10,96.20,1,33,96.27
58,96.60,1,8,96.32,1,31,96.33
59,97.15,1,3,96.65,1,34,96.79
60,95.98,1,9,95.92,1,30,96.40
61,96.10,2,11,96.00,1,32,96.07
62,95.91,1,10,95.85,1,30,95.91
63,95.96,1,10,95.91,1,29,95.92
64,95.96,1,13,95.80,1,32,95.82
65,95.92,1,13,95.79,1,35,95.79
66,95.99,1,11,95.74,1,34,96.00
67,96.29,2,11,96.11,2,36,96.14
68,96.16,1,11,95.96,1,35,95.98
69,96.36,1,10,95.76,1,33,96.11
70,96.44,1,10,96.29,1,35,96.32
71,96.27,1,13,95.90,1,36,96.11
72,96.64,1,10,96.47,1,37,96.53
73,96.77,2,11,96.39,1,38,96.51
74,96.85,1,8,96.77,1,41,96.83
75,96.92,1,7,96.78,1,44,96.91
76,97.05,1,10,96.75,1,44,96.82
77,97.16,1,4,96.60,1,43,97.16
78,98.12,1,2,97.28,1,45,97.75
79,98.12,2,5,97.70,1,46,97.69
80,96.63,1,12,96.57,1,43,96.59
81,96.58,1,14,96.56,1,46,96.81
82,97.02,1,11,96.75,1,48,96.96
83,97.05,1,12,96.85,1,49,97.03
84,97.37,1,13,97.22,1,52,97.36
85,97.41,1,13,97.14,1,53,97.37
86,96.72,1,14,96.66,1,48,96.76
87,97.20,1,13,96.69,1,48,96.87
88,97.44,1,10,97.37,1,51,97.41
89,97.64,1,10,97.49,1,51,97.43
90,97.21,1,12,97.01,1,49,97.39
91,97.09,1,21,96.98,2,52,97.06
92,97.45,1,16,97.03,1,55,97.15
93,97.28,1,18,97.03,1,57,97.18
94,97.14,1,24,96.95,1,56,96.97
95,97.07,1,28,96.69,1,51,96.69
96,96.77,1,34,96.66,1,51,96.69
97,96.83,1,34,96.51,1,47,96.51
98,96.93,1,33,96.64,1,49,96.78
99,97.01,1,31,96.64,1,50,96.92
100,96.81,1,33,96.49,2,48,96.50
101,96.93,1,32,96.49,1,47,96.89
102,96.80,1,33,96.52,1,47,96.71
103,96.89,1,34,96.51,1,47,96.52
104,96.86,1,35,96.47,2,45,96.82
105,96.84,1,39,96.52,1,45,96.82
106,96.86,1,39,96.45,1,43,96.84
107,96.51,1,42,96.25,1,40,96.37
108,97.00,1,37,96.77,2,50,96.91
109,97.03,1,36,96.81,1,53,96.94
110,97.16,2,30,96.97,1,59,97.14
111,97.34,1,25,97.13,1,62,97.28
112,97.58,1,19,97.54,1,72,97.31
113,97.67,1,17,97.56,1,79,97.58
114,97.75,1,13,97.50,2,80,97.72
115,97.99,1,8,97.78,1,84,97.90
116,98.09,1,7,98.03,1,86,98.06
117,98.12,2,6,97.70,1,83,98.03
118,99.23,1,2,98.27,1,87,98.81
119,100.04,1,1,98.40,1,90,99.33
120,0.00,0,0,100.46,1,92,99.60
121,0.00,0,0,98.37,1,89,98.40
122,0.00,0,0,97.49,1,79,97.52
123,0.00,0,0,98.55,1,78,98.81
124,0.00,0,0,97.40,3,77,98.81
125,0.00,0,0,99.94,1,79,99.12
126,0.00,0,0,99.71,1,79,99.12
127,0.00,0,0,97.40,2,76,97.40
128,0.00,0,0,97.50,1,75,97.58
129,0.00,0,0,97.50,1,75,97.63
130,0.00,0,0,97.21,1,73,97.23
131,0.00,0,0,98.14,1,74,97.78
132,0.00,0,0,98.25,1,74,98.14
133,0.00,0,0,97.62,1,73,97.75
134,97.33,1,1,97.18,2,72,98.10
135,0.00,0,0,97.63,1,72,97.18
136,0.00,0,0,98.36,1,74,97.50
137,0.00,0,0,98.41,1,74,97.96
138,0.00,0,0,99.04,1,74,99.11
139,0.00,0,0,99.04,1,74,99.96
140,0.00,0,0,99.23,1,78,99.35
141,0.00,0,0,98.68,1,75,99.04
142,0.00,0,0,97.58,1,75,98.41
