time,price,fastEma,slowEma
1,98.75,98.75,98.75
2,91.95,98.6823,98.7161
3,95.65,98.6522,98.7008
4,95.37,98.6195,98.6842
5,95.63,98.5898,98.6689
6,95.87,98.5627,98.655
7,95.7753,98.535,98.6406
8,95.83,98.508,98.6266
9,95.78,98.4809,98.6124
10,96.42,98.4604,98.6015
11,96.09,98.4368,98.5889
12,95.48,98.4074,98.5734
13,95.64,98.3799,98.5588
14,96.28,98.359,98.5474
15,95.8158,98.3337,98.5338
16,96.13,98.3117,98.5218
17,95.66,98.2853,98.5076
18,95.57,98.2583,98.4929
19,95.3128,98.229,98.477
20,95.21,98.199,98.4608
21,95.19,98.169,98.4444
22,95.7326,98.1448,98.4309
23,95.2851,98.1163,98.4152
24,95.9251,98.0945,98.4028
25,95.11,98.0648,98.3864
26,94.74,98.0318,98.3682
27,91.7989,97.9697,98.3354
28,92.6769,97.9171,98.3072
29,96.39,97.9019,98.2976
30,94.71,97.8701,98.2798
31,94.45,97.8361,98.2607
32,95.89,97.8167,98.2488
33,96.44,97.803,98.2398
34,96.11,97.7862,98.2292
35,96.33,97.7717,98.2197
36,96.13,97.7554,98.2093
37,96,97.7379,98.1983
38,96.39,97.7245,98.1893
39,96.51,97.7124,98.1809
40,96.4,97.6993,98.172
41,96.51,97.6875,98.1637
42,96.4,97.6747,98.1549
43,96.79,97.6659,98.1481
44,96.42,97.6535,98.1395
45,96.4,97.641,98.1308
46,96.13,97.626,98.1208
47,96.11,97.6109,98.1108
48,96.02,97.5951,98.1004
49,96.17,97.5809,98.0907
50,96.28,97.5679,98.0817
51,95.9,97.5513,98.0708
52,95.88,97.5347,98.0599
53,95.88,97.5182,98.049
54,95.99,97.503,98.0388
55,95.83,97.4864,98.0277
56,96.42,97.4758,98.0197
57,96.2722,97.4638,98.011
58,96.33,97.4525,98.0026
59,96.79,97.4459,97.9966
60,96.4,97.4355,97.9886
61,96.07,97.4219,97.979
62,95.91,97.4069,97.9687
63,95.92,97.3921,97.9585
64,95.82,97.3765,97.9478
65,95.79,97.3607,97.9371
66,96,97.3471,97.9274
67,96.14,97.3351,97.9185
68,95.98,97.3216,97.9088
69,96.11,97.3096,97.8999
70,96.32,97.2997,97.892
71,96.11,97.2879,97.8831
72,96.53,97.2804,97.8763
73,96.51,97.2727,97.8695
74,96.83,97.2683,97.8643
75,96.91,97.2647,97.8596
76,96.82,97.2603,97.8544
77,97.16,97.2593,97.8509
78,97.75,97.2642,97.8504
79,97.69,97.2684,97.8496
80,96.59,97.2617,97.8434
81,96.81,97.2572,97.8382
82,96.96,97.2542,97.8338
83,97.03,97.252,97.8298
84,97.36,97.2531,97.8275
85,97.37,97.2542,97.8252
86,96.76,97.2493,97.8199
87,96.87,97.2455,97.8151
88,97.41,97.2472,97.8131
89,97.43,97.249,97.8112
90,97.39,97.2504,97.8091
91,97.06,97.2485,97.8054
92,97.15,97.2475,97.8021
93,97.18,97.2468,97.799
94,96.97,97.2441,97.7949
95,96.69,97.2386,97.7894
96,96.69,97.2331,97.7839
97,96.51,97.2259,97.7775
98,96.78,97.2215,97.7725
99,96.92,97.2185,97.7683
100,96.5,97.2113,97.762
101,96.89,97.2081,97.7576
102,96.71,97.2032,97.7524
103,96.52,97.1964,97.7462
104,96.82,97.1926,97.7416
105,96.82,97.1889,97.737
106,96.84,97.1855,97.7326
107,96.37,97.1773,97.7258
108,96.91,97.1747,97.7217
109,96.94,97.1724,97.7178
110,97.14,97.172,97.7149
111,97.28,97.1731,97.7127
112,97.31,97.1745,97.7107
113,97.58,97.1785,97.7101
114,97.72,97.1839,97.7101
115,97.9,97.191,97.7111
116,98.06,97.1997,97.7128
117,98.03,97.2079,97.7144
118,98.81,97.2239,97.7199
119,99.33,97.2448,97.7279
120,99.6019,97.2683,97.7372
121,98.4,97.2795,97.7405
122,97.52,97.2819,97.7394
123,98.81,97.2971,97.7448
124,98.8161,97.3122,97.7501
125,99.1258,97.3303,97.757
126,99.1222,97.3481,97.7638
127,97.4,97.3486,97.762
128,97.5888,97.351,97.7611
129,97.6353,97.3539,97.7605
130,97.23,97.3526,97.7578
131,97.7803,97.3569,97.758
132,98.1453,97.3647,97.7599
133,97.75,97.3686,97.7598
134,98.1042,97.3759,97.7616
135,97.18,97.3739,97.7587
136,97.5084,97.3753,97.7574
137,97.9616,97.3811,97.7584
138,99.1102,97.3983,97.7652
139,99.9604,97.4238,97.7761
140,99.35,97.443,97.784
141,99.0404,97.4589,97.7902
142,98.4161,97.4684,97.7934
143,97.58,97.4695,97.7923
144,97.5,97.4698,97.7908
145,98.094,97.476,97.7923
146,99.1917,97.4931,97.7993
147,98.3546,97.5017,97.8021
148,98.3546,97.5101,97.8049
149,98.459,97.5196,97.8081
150,98.4794,97.5291,97.8115
151,98.08,97.5346,97.8128
152,98.0466,97.5397,97.814
153,98.2289,97.5466,97.816
154,99.1983,97.563,97.8229
155,99.5904,97.5832,97.8317
156,98.9442,97.5967,97.8373
157,99.4047,97.6147,97.8451
158,99.2605,97.6311,97.8522
159,99.1036,97.6457,97.8584
160,99.3237,97.6624,97.8657
161,100.077,97.6865,97.8768
162,99.8093,97.7076,97.8864
163,99.186,97.7223,97.8929
164,98.9457,97.7345,97.8981
165,99.2979,97.75,97.9051
166,98.5686,97.7582,97.9084
167,99.0232,97.7708,97.914
168,99.1601,97.7846,97.9202
169,98.86,97.7953,97.9249
170,98.4389,97.8017,97.9274
171,98.9302,97.8129,97.9324
172,99,97.8247,97.9378
173,99.3127,97.8395,97.9446
174,98.57,97.8468,97.9477
175,98.53,97.8536,97.9506
176,98.6895,97.8619,97.9543
177,97.9766,97.8631,97.9544
178,98.8464,97.8728,97.9589
179,99.3497,97.8875,97.9658
180,97.78,97.8865,97.9649
181,98.7557,97.8951,97.9688
182,99.34,97.9095,97.9757
183,99.0978,97.9213,97.9813
184,100.442,97.9464,97.9936
185,97.2928,97.9399,97.9901
186,97.3629,97.9342,97.9869
187,97.27,97.9275,97.9834
188,97.14,97.9197,97.9791
189,97.13,97.9119,97.9749
190,97.4723,97.9075,97.9724
191,98.0718,97.9091,97.9729
192,97.3217,97.9033,97.9697
193,97.5396,97.8996,97.9675
194,97.03,97.891,97.9628
195,97.2018,97.8841,97.959
196,96.95,97.8748,97.954
197,97.3966,97.8701,97.9512
198,98.0062,97.8714,97.9515
199,97.7644,97.8704,97.9506
200,98.1887,97.8735,97.9518
201,99.2951,97.8877,97.9585
202,97.96,97.8884,97.9585
203,97.3201,97.8828,97.9553
204,97.08,97.8748,97.9509
205,97.08,97.8669,97.9466
206,97.29,97.8611,97.9433
207,98.9868,97.8723,97.9485
208,98.6071,97.8796,97.9518
209,98.9903,97.8907,97.957
210,99.8156,97.9098,97.9662
211,101.16,97.9422,97.9822
212,100.79,97.9705,97.9962
213,100.93,98,98.0108
214,101.39,98.0337,98.0277
215,101.19,98.0651,98.0434
216,100.33,98.0876,98.0548
217,98.31,98.0898,98.0561
218,98.4424,98.0934,98.058
219,98.05,98.0929,98.058
220,98.9156,98.1011,98.0623
221,99.0625,98.1107,98.0673
222,99.3118,98.1226,98.0735
223,99.2385,98.1337,98.0793
224,99.0041,98.1424,98.0839
225,98.83,98.1492,98.0876
226,99.7554,98.1652,98.0959
227,98.7561,98.1711,98.0992
228,99.1117,98.1804,98.1043
229,99.1163,98.1898,98.1093
230,98.3804,98.1917,98.1107
231,98.7211,98.1969,98.1137
232,98.848,98.2034,98.1174
233,98.3385,98.2047,98.1185
234,97.1099,98.1939,98.1134
235,97.01,98.1821,98.1079
236,97.7295,98.1776,98.1061
237,96.9,98.1649,98.1
238,97.2831,98.1561,98.096
239,96.8,98.1426,98.0895
240,97.5447,98.1366,98.0868
241,97.7712,98.133,98.0852
242,98.4525,98.1362,98.087
243,97.6756,98.1316,98.085
244,97.6756,98.1271,98.0829
245,99.1672,98.1374,98.0884
246,98.18,98.1378,98.0888
247,98.0215,98.1367,98.0885
248,98.6039,98.1413,98.091
249,97.75,98.1374,98.0893
250,97.9925,98.136,98.0889
251,97.4551,98.1292,98.0857
252,97.4551,98.1225,98.0826
253,98.2101,98.1234,98.0832
254,98.3274,98.1254,98.0844
255,99.1296,98.1354,98.0896
256,97.9455,98.1335,98.0889
257,97.78,98.13,98.0874
258,97.99,98.1286,98.0869
259,97.47,98.1221,98.0838
260,97.5329,98.1162,98.0811
261,98.4951,98.12,98.0831
262,97.9956,98.1187,98.0827
263,96.8858,98.1065,98.0767
264,96.72,98.0927,98.0699
265,97.9222,98.091,98.0692
266,97.26,98.0827,98.0652
267,96.65,98.0684,98.0581
268,97.0185,98.058,98.0529
269,96.58,98.0433,98.0456
270,96.58,98.0287,98.0383
271,96.25,98.011,98.0294
272,95.78,97.9888,98.0181
273,95.76,97.9667,98.0069
274,95.68,97.9439,97.9953
275,95.66,97.9212,97.9836
276,95.62,97.8983,97.9718
277,95.59,97.8753,97.96
278,95.53,97.852,97.9478
279,95.4708,97.8283,97.9355
280,95.61,97.8062,97.9239
281,95.6153,97.7844,97.9124
282,95.1938,97.7586,97.8988
283,94.96,97.7308,97.8842
284,95.8322,97.7119,97.8739
285,94.398,97.6789,97.8566
286,94.3026,97.6453,97.8389
287,100.5,97.6737,97.8521
288,102.665,97.7234,97.8761
289,102.35,97.7694,97.8984
290,96.74,97.7592,97.8927
291,95.3,97.7347,97.8797
292,95.3,97.7105,97.8669
293,98.5142,97.7185,97.8701
294,97.52,97.7165,97.8684
295,98.62,97.7255,97.8721
296,98.22,97.7304,97.8738
297,98.09,97.734,97.8749
298,98.23,97.7389,97.8767
