time,price,fastEma,slowEma
1,98.84,98.84,98.84
2,103.405,98.9304,98.8854
3,100.63,98.964,98.9028
4,100.61,98.9966,98.9198
5,104.09,99.0975,98.9712
6,103.253,99.1798,99.0138
7,113.03,99.454,99.1533
8,94.78,99.3615,99.1098
9,113.456,99.6406,99.2525
10,106.01,99.7667,99.3198
11,101.985,99.8106,99.3463
12,102.988,99.8736,99.3825
13,104.36,99.9624,99.432
14,103.99,100.042,99.4774
15,104.05,100.122,99.5229
16,103.78,100.194,99.5652
17,103.7,100.263,99.6064
18,103.34,100.324,99.6435
19,103.54,100.388,99.6823
20,102.25,100.425,99.7079
21,102.99,100.476,99.7405
22,102.35,100.513,99.7665
23,102.27,100.548,99.7914
24,102.6,100.588,99.8193
25,102.47,100.625,99.8457
26,102.01,100.653,99.8672
27,102.9,100.697,99.8974
28,102.98,100.743,99.9281
29,102.42,100.776,99.9529
30,102.12,100.802,99.9745
31,101.93,100.825,99.9939
32,102.05,100.849,100.014
33,101.91,100.87,100.033
34,101.418,100.881,100.047
35,101.218,100.888,100.059
36,101.885,100.907,100.077
37,102.84,100.946,100.104
38,104,101.006,100.143
39,104.1,101.067,100.182
40,104.22,101.13,100.223
41,104.74,101.201,100.268
42,104.73,101.271,100.312
43,103.848,101.322,100.347
44,104.36,101.382,100.387
45,103.767,101.43,100.421
46,104.52,101.491,100.462
47,104.124,101.543,100.498
48,104.124,101.594,100.534
49,102.89,101.62,100.557
50,102.839,101.644,100.58
51,102.26,101.656,100.597
52,101.603,101.655,100.607
53,101.55,101.653,100.616
54,102.228,101.664,100.632
55,103.527,101.701,100.661
56,105.18,101.77,100.706
57,104.734,101.829,100.746
58,103.728,101.866,100.776
59,104.228,101.913,100.81
60,104.355,101.961,100.845
61,103.697,101.996,100.874
62,104.42,102.044,100.909
63,103.431,102.071,100.934
64,104.059,102.111,100.965
65,104.31,102.154,100.999
66,104.57,102.202,101.034
67,104.539,102.248,101.069
68,104.009,102.283,101.098
69,103.616,102.31,101.123
70,103.616,102.335,101.148
71,102.701,102.343,101.164
72,101.906,102.334,101.171
73,102.042,102.328,101.18
74,101.957,102.321,101.187
75,98.21,102.239,101.158
76,96.9332,102.134,101.116
77,98.04,102.053,101.085
78,97.2613,101.958,101.047
79,97.7712,101.876,101.014
80,98.7,101.813,100.991
81,98.839,101.754,100.97
82,99.0018,101.699,100.95
83,99.44,101.655,100.935
84,99.93,101.62,100.925
85,99.93,101.587,100.915
86,99.8365,101.552,100.905
87,99.7629,101.517,100.893
88,100.539,101.497,100.89
89,99.6809,101.461,100.878
90,101.33,101.459,100.882
91,100.555,101.441,100.879
92,100.555,101.423,100.876
93,100.555,101.406,100.873
94,100.318,101.385,100.867
95,99.3684,101.345,100.852
96,98.5497,101.289,100.829
97,97.6784,101.218,100.798
98,99.4165,101.182,100.784
99,100,101.159,100.776
100,99.6358,101.129,100.765
101,98.7556,101.082,100.745
102,98.98,101.04,100.728
103,98.7238,100.994,100.708
104,98.9582,100.954,100.69
105,98.4741,100.905,100.668
106,99.26,100.872,100.654
107,99.82,100.851,100.646
108,100.036,100.835,100.64
109,99.8544,100.816,100.632
110,99.5097,100.79,100.621
111,100.048,100.775,100.615
112,99.3649,100.747,100.603
113,98.3413,100.7,100.58
114,99.0089,100.666,100.564
115,98.74,100.628,100.546
116,98.88,100.593,100.53
117,98.2538,100.547,100.507
118,97.398,100.485,100.476
119,97.0362,100.416,100.442
120,95.7567,100.324,100.395
121,95.7567,100.234,100.349
122,95.5661,100.141,100.302
123,99.5592,100.13,100.294
124,98.5438,100.098,100.277
125,97.7268,100.051,100.251
126,97.7344,100.006,100.226
127,97.6126,99.9582,100.2
128,97.7958,99.9153,100.176
129,96.9667,99.857,100.144
130,96.591,99.7923,100.109
131,95.6549,99.7104,100.065
132,95.6549,99.63,100.021
133,95.3807,99.5459,99.9747
134,95.4415,99.4646,99.9296
135,95.4336,99.3848,99.8849
136,93.9264,99.2767,99.8256
137,92.2728,99.138,99.7505
138,92.7802,99.0121,99.6811
139,92.2225,98.8777,99.6069
140,92.9831,98.761,99.541
141,92.5349,98.6377,99.4713
142,92.0589,98.5074,99.3975
143,90.4912,98.3487,99.3089
144,90.4221,98.1917,99.2205
145,91.18,98.0529,99.1405
146,93.22,97.9572,99.0816
147,92.3324,97.8458,99.0144
148,92.1291,97.7326,98.9459
149,90.4485,97.5883,98.8613
150,90.7412,97.4527,98.7805
151,90.7412,97.3198,98.7005
152,90.4375,97.1836,98.6183
153,89.82,97.0377,98.5308
154,89.5073,96.8886,98.441
155,90.07,96.7536,98.3577
156,89.8384,96.6167,98.2729
157,89.4891,96.4755,98.1855
158,90.7,96.3612,98.1111
159,90.7,96.2491,98.0373
160,90.3832,96.1329,97.9611
161,90.0483,96.0124,97.8824
162,89.7644,95.8887,97.8016
163,89.1216,95.7547,97.7153
164,88.7296,95.6156,97.6259
165,88.2739,95.4702,97.5328
166,89.4906,95.3518,97.4528
167,89.87,95.2432,97.3773
168,88.5203,95.1101,97.2892
169,88.1,94.9713,97.1978
170,87.4282,94.8219,97.1006
171,86.3763,94.6547,96.9938
172,84.4262,94.4521,96.8688
173,85.4,94.2729,96.7547
174,86.6104,94.1212,96.6537
175,86.85,93.9772,96.5562
176,86.4522,93.8282,96.4557
177,86.3973,93.681,96.3556
178,87.7,93.5626,96.2694
179,87.8995,93.4504,96.1862
180,87.5987,93.3346,96.1007
181,87.3074,93.2152,96.0132
182,87.1077,93.0943,95.9246
183,87.3156,92.9799,95.8389
184,87.75,92.8763,95.7585
185,87.458,92.769,95.6759
186,86.6494,92.6478,95.5861
187,87.3281,92.5425,95.5039
188,87.3281,92.4392,95.4225
189,87.0091,92.3317,95.3388
190,86.4295,92.2148,95.2502
191,86.8172,92.1079,95.1663
192,86.8191,92.0032,95.0832
193,86.0358,91.885,94.9932
194,85.7588,91.7637,94.9013
195,85.8651,91.6469,94.8114
196,86.37,91.5424,94.7274
197,85.5216,91.4232,94.6358
198,86.4,91.3237,94.5538
199,86.9987,91.2381,94.4787
200,87.76,91.1692,94.4118
201,88.4498,91.1154,94.3525
202,90.17,91.0967,94.3109
203,88.6223,91.0477,94.2543
204,89.13,91.0097,94.2033
205,88.97,90.9693,94.1512
206,88.63,90.923,94.0963
207,88.35,90.872,94.0391
208,88.0172,90.8155,93.9792
209,88.275,90.7652,93.9224
