time,price,fastEma,slowEma
1,93.83,93.83,93.83
2,107.46,94.0999,93.9656
3,92.29,94.0641,93.9489
4,105.95,94.2994,94.0684
5,104.11,94.4937,94.1683
6,103.462,94.6713,94.2608
7,91.6,94.6105,94.2343
8,98.35,94.6845,94.2752
9,94.4,94.6789,94.2765
10,98.0887,94.7464,94.3144
11,99.48,94.8401,94.3658
12,97.73,94.8974,94.3993
13,97.78,94.9545,94.4329
14,97.94,95.0136,94.4678
15,98.07,95.0741,94.5037
16,98.34,95.1388,94.5418
17,98.14,95.1982,94.5776
18,98.05,95.2547,94.6122
19,97.71,95.3033,94.643
20,97.95,95.3557,94.6759
21,97.5,95.3982,94.704
22,97.78,95.4453,94.7346
23,97.72,95.4904,94.7643
24,97.69,95.5339,94.7934
25,98.04,95.5835,94.8257
26,97.78,95.627,94.8551
27,98.27,95.6794,94.8891
28,99.15,95.7481,94.9315
29,98.57,95.804,94.9677
30,98.77,95.8627,95.0056
31,99.04,95.9256,95.0457
32,99.98,96.0059,95.0948
33,99.92,96.0834,95.1428
34,100.02,96.1614,95.1913
35,100.35,96.2443,95.2427
36,100.41,96.3268,95.2941
37,100.86,96.4166,95.3495
38,100.28,96.4931,95.3985
39,100.15,96.5655,95.4458
40,99.76,96.6287,95.4887
41,100.57,96.7068,95.5393
42,100.59,96.7837,95.5895
43,100.45,96.8563,95.6379
44,100.29,96.9243,95.6842
45,100.55,96.9961,95.7326
46,100.69,97.0692,95.7819
47,100.99,97.1469,95.8338
48,101.6,97.235,95.8911
49,100.8,97.3056,95.94
50,101.425,97.3872,95.9946
51,100.84,97.4556,96.0428
52,100.67,97.5192,96.0888
53,100.6,97.5802,96.1337
54,100.5,97.6381,96.1771
55,100.49,97.6945,96.2201
56,100.473,97.7495,96.2624
57,100.34,97.8008,96.3029
58,100.25,97.8493,96.3422
59,100,97.8919,96.3786
60,100.12,97.936,96.4158
61,99.71,97.9712,96.4486
62,99.7305,98.006,96.4813
63,100.395,98.0533,96.5202
64,99.7853,98.0876,96.5527
65,98.76,98.1009,96.5747
66,98.37,98.1063,96.5925
67,98.31,98.1103,96.6096
68,98.18,98.1117,96.6253
69,99.0768,98.1308,96.6496
70,97.6,98.1203,96.6591
71,97.39,98.1058,96.6664
72,97.29,98.0897,96.6726
73,97.05,98.0691,96.6763
74,97.02,98.0483,96.6798
75,96.88,98.0252,96.6817
76,97.376,98.0123,96.6887
77,96.53,97.983,96.6871
78,96.8482,97.9605,96.6887
79,96.27,97.927,96.6845
80,94.9785,97.8686,96.6675
81,95.3819,97.8194,96.6547
82,94.9314,97.7622,96.6376
83,94.99,97.7073,96.6212
84,96.5461,97.6843,96.6205
85,96.1979,97.6549,96.6163
86,96.4035,97.6301,96.6141
87,95.5249,97.5884,96.6033
88,96.4585,97.566,96.6019
89,95.43,97.5237,96.5902
90,96.1349,97.4962,96.5857
91,95.8241,97.4631,96.5781
92,95.8241,97.4307,96.5706
93,95.15,97.3855,96.5565
94,95.03,97.3389,96.5413
95,94.93,97.2912,96.5252
96,94.5013,97.2359,96.5051
97,94.3,97.1778,96.4832
98,94.0347,97.1155,96.4588
99,94.4217,97.0622,96.4385
100,93.52,96.9921,96.4095
101,92.3953,96.901,96.3695
102,91.84,96.8008,96.3245
103,98.57,96.8358,96.3468
104,99.1595,96.8819,96.3748
105,95.6776,96.858,96.3679
106,94.484,96.811,96.3491
107,94.2844,96.761,96.3286
108,94.25,96.7112,96.3079
109,94.7386,96.6722,96.2923
110,93.95,96.6183,96.269
111,93.74,96.5613,96.2438
112,94.5042,96.5205,96.2265
113,94.6974,96.4844,96.2113
114,94.81,96.4513,96.1973
115,94.14,96.4055,96.1769
116,94.3178,96.3642,96.1584
117,95.0881,96.3389,96.1477
118,94.19,96.2964,96.1282
119,94.07,96.2523,96.1078
120,95.54,96.2382,96.1021
121,94.05,96.1948,96.0817
122,93.71,96.1456,96.0581
123,91.6095,96.0558,96.0138
124,95.4924,96.0447,96.0086
125,94.45,96.0131,95.9931
126,94.23,95.9778,95.9756
127,95.05,95.9594,95.9664
128,94,95.9206,95.9468
129,94.839,95.8992,95.9358
130,94.63,95.874,95.9228
131,94.13,95.8395,95.905
132,94,95.8031,95.886
133,94.0418,95.7682,95.8677
134,96.74,95.7875,95.8763
135,92.56,95.7235,95.8433
136,96.091,95.7308,95.8458
137,98.12,95.7781,95.8684
138,95.3138,95.7689,95.8629
139,96.97,95.7927,95.8739
140,96.6064,95.8088,95.8812
141,96.6177,95.8248,95.8885
142,96.76,95.8434,95.8972
143,97.1705,95.8696,95.9099
144,95.8623,95.8695,95.9094
145,96.8115,95.8882,95.9184
146,98.12,95.9324,95.9403
147,97.79,95.9691,95.9587
148,97.7187,96.0038,95.9762
149,98.218,96.0476,95.9985
150,98.1622,96.0895,96.02
151,99.1491,96.1501,96.0512
152,91.6211,96.0604,96.0071
153,96.54,96.0699,96.0124
154,97.98,96.1077,96.032
155,97.4697,96.1347,96.0463
