time,price,fastEma,slowEma
1,103.16,103.16,103.16
2,108.94,103.218,103.189
3,109.48,103.28,103.22
4,108.99,103.337,103.249
5,107.56,103.379,103.27
6,105.48,103.4,103.282
7,107.53,103.441,103.303
8,107.225,103.478,103.322
9,106.97,103.513,103.34
10,106.67,103.544,103.357
11,105.3,103.562,103.367
12,104.95,103.576,103.375
13,104.89,103.589,103.382
14,105.23,103.605,103.391
15,105.22,103.621,103.401
16,105.09,103.636,103.409
17,105.32,103.653,103.418
18,105.374,103.67,103.428
19,105.15,103.684,103.437
20,104.67,103.694,103.443
21,104.87,103.706,103.45
22,105.15,103.72,103.459
23,105.09,103.734,103.467
24,104.99,103.746,103.474
25,105.08,103.76,103.482
26,105.51,103.777,103.492
27,105.29,103.792,103.501
28,104.97,103.804,103.509
29,104.97,103.816,103.516
30,105.16,103.829,103.524
31,104.79,103.838,103.531
32,104.32,103.843,103.534
33,104.18,103.847,103.538
34,103.94,103.848,103.54
35,104.04,103.849,103.542
36,103.99,103.851,103.544
37,104.11,103.853,103.547
38,104.06,103.855,103.55
39,103.98,103.857,103.552
40,104.07,103.859,103.555
41,104.17,103.862,103.558
42,104.09,103.864,103.56
43,104.12,103.867,103.563
44,104.1,103.869,103.566
45,103.87,103.869,103.567
46,103.76,103.868,103.568
47,103.54,103.865,103.568
48,103.17,103.858,103.566
49,103.55,103.855,103.566
50,103.67,103.853,103.567
51,103.8,103.852,103.568
52,103.82,103.852,103.569
53,104,103.854,103.571
54,104.16,103.857,103.574
55,103.94,103.857,103.576
56,104.06,103.859,103.578
57,103.98,103.861,103.58
58,104.24,103.864,103.584
59,104.26,103.868,103.587
60,104.14,103.871,103.59
61,104.18,103.874,103.593
62,103.84,103.874,103.594
63,103.92,103.874,103.595
64,103.947,103.875,103.597
65,103.94,103.876,103.599
66,104.05,103.877,103.601
67,104.31,103.882,103.605
68,104.01,103.883,103.607
69,104.32,103.887,103.61
70,104.35,103.892,103.614
71,104.39,103.897,103.618
72,104.39,103.902,103.622
73,104.44,103.907,103.626
74,104.46,103.913,103.63
75,104.31,103.917,103.633
76,104.51,103.922,103.638
77,104.47,103.928,103.642
78,104.66,103.935,103.647
79,104.73,103.943,103.652
80,104.71,103.951,103.658
81,104.8,103.959,103.663
82,104.82,103.968,103.669
83,104.66,103.975,103.674
84,104.93,103.984,103.68
85,104.85,103.993,103.686
86,104.79,104.001,103.692
87,104.75,104.008,103.697
88,105.14,104.019,103.704
89,105.14,104.031,103.711
90,105.5,104.045,103.72
91,105.47,104.059,103.729
92,105.48,104.073,103.738
93,105.92,104.092,103.749
94,105.98,104.111,103.76
95,105.87,104.128,103.77
96,106.27,104.149,103.783
97,106.82,104.176,103.798
98,106.85,104.203,103.813
99,106.99,104.23,103.829
100,106.95,104.257,103.844
101,107.48,104.29,103.863
102,108.65,104.333,103.886
103,109.22,104.382,103.913
104,109.89,104.436,103.943
105,112.74,104.519,103.987
106,112.05,104.594,104.027
107,111.949,104.667,104.066
108,112.27,104.743,104.107
109,112.33,104.818,104.148
110,112.45,104.894,104.19
111,112.34,104.968,104.23
112,112.24,105.041,104.27
113,112.42,105.114,104.311
114,112.26,105.185,104.351
115,112.48,105.258,104.391
116,112.3,105.328,104.431
117,112.38,105.398,104.47
118,112.59,105.47,104.511
119,112.65,105.541,104.551
120,112.22,105.607,104.59
121,112.56,105.677,104.629
122,112.68,105.746,104.67
123,112.14,105.81,104.707
124,112,105.872,104.743
125,111.91,105.932,104.779
126,111.82,105.99,104.814
127,111.88,106.049,104.849
128,111.9,106.107,104.884
129,111.89,106.165,104.919
130,111.78,106.22,104.954
131,111.32,106.271,104.985
132,111.13,106.32,105.016
133,110.66,106.363,105.044
134,110.42,106.403,105.071
135,109.9,106.438,105.095
136,110.45,106.478,105.122
137,110.33,106.516,105.148
138,110.32,106.554,105.174
139,110.44,106.593,105.2
140,110.26,106.629,105.225
141,110.18,106.664,105.25
142,110.43,106.702,105.276
143,110.45,106.739,105.301
144,110.68,106.778,105.328
145,110.27,106.813,105.353
146,110.31,106.848,105.378
147,110.2,106.881,105.402
148,110.32,106.916,105.426
149,110.56,106.952,105.452
150,110.66,106.989,105.478
151,110.48,107.023,105.503
152,110.78,107.061,105.529
153,110.54,107.095,105.554
154,110.41,107.128,105.578
155,110.45,107.161,105.603
156,110.74,107.197,105.628
157,110.2,107.227,105.651
158,110.11,107.256,105.673
159,110.23,107.285,105.696
160,109.62,107.308,105.716
161,109.14,107.327,105.733
162,109.4,107.347,105.751
163,108.85,107.362,105.766
164,108.24,107.371,105.779
165,108.33,107.381,105.791
166,108.28,107.39,105.804
167,108.34,107.399,105.816
168,108.31,107.408,105.829
169,108.34,107.417,105.841
170,108.07,107.424,105.853
171,107.9,107.429,105.863
172,108.08,107.435,105.874
173,107.98,107.44,105.884
174,108.16,107.448,105.896
175,108.12,107.454,105.907
176,108.14,107.461,105.918
177,107.95,107.466,105.928
178,107.93,107.471,105.938
179,107.96,107.475,105.948
180,108.01,107.481,105.958
181,107.72,107.483,105.967
182,107.97,107.488,105.977
183,107.86,107.492,105.987
184,107.69,107.494,105.995
185,108.13,107.5,106.006
186,107.96,107.505,106.015
187,107.76,107.507,106.024
188,107.69,107.509,106.032
189,107.69,107.511,106.041
190,107.65,107.512,106.049
191,107.45,107.512,106.056
192,107.15,107.508,106.061
193,106.97,107.503,106.066
194,106.75,107.495,106.069
195,106.61,107.486,106.072
196,106.59,107.477,106.074
197,106.38,107.466,106.076
198,106.38,107.456,106.077
199,106.41,107.445,106.079
200,106.34,107.434,106.08
201,105.97,107.42,106.08
202,105.83,107.404,106.079
203,105.63,107.386,106.076
204,105.61,107.369,106.074
205,105.55,107.35,106.071
206,105.24,107.329,106.067
207,104.98,107.306,106.062
208,104.846,107.282,106.056
209,104.72,107.256,106.049
210,104.58,107.229,106.042
211,104.4,107.201,106.034
212,104.34,107.173,106.025
213,104.22,107.143,106.016
214,104.15,107.114,106.007
215,104.245,107.085,105.998
216,103.92,107.054,105.988
217,103.83,107.022,105.977
218,103.94,106.991,105.967
219,103.63,106.957,105.955
220,103.77,106.926,105.944
221,104.058,106.897,105.935
222,104.32,106.872,105.927
223,104.5,106.848,105.92
224,104.71,106.827,105.914
225,104.6,106.805,105.907
226,104.9,106.786,105.902
227,105.2,106.77,105.899
228,105.25,106.755,105.895
229,105.45,106.742,105.893
230,105.69,106.731,105.892
231,105.79,106.722,105.892
232,105.79,106.713,105.891
233,105.96,106.705,105.891
234,106.35,106.702,105.894
235,106.43,106.699,105.896
236,106.47,106.697,105.899
237,106.47,106.694,105.902
238,106.82,106.696,105.907
239,107.23,106.701,105.913
240,107.3,106.707,105.92
241,107.73,106.717,105.929
242,107.03,106.72,105.935
243,107.38,106.727,105.942
244,106.89,106.728,105.947
245,108.11,106.742,105.957
246,108.06,106.755,105.968
247,108.29,106.77,105.98
248,108.44,106.787,105.992
249,108.56,106.805,106.005
250,109.4,106.831,106.022
251,110.41,106.866,106.043
252,110.9,106.906,106.068
253,110.84,106.945,106.091
254,111.5,106.991,106.118
255,111.93,107.04,106.147
256,111.72,107.086,106.175
257,111.46,107.13,106.202
258,111.87,107.177,106.23
259,112.11,107.226,106.259
260,112.17,107.275,106.289
261,111.78,107.32,106.316
262,111.89,107.366,106.344
263,112.27,107.415,106.373
264,111.82,107.458,106.401
265,112.09,107.504,106.429
266,112.64,107.556,106.46
267,112.47,107.604,106.49
268,112.79,107.656,106.521
269,112.57,107.705,106.551
270,112.43,107.752,106.581
271,112.37,107.798,106.61
272,113.06,107.85,106.642
273,112.67,107.898,106.672
274,112.47,107.944,106.701
275,112.77,107.992,106.731
276,112.51,108.037,106.76
277,112.57,108.082,106.789
278,112.8,108.129,106.819
279,112.95,108.177,106.849
280,112.81,108.223,106.879
281,112.7,108.267,106.908
282,112.47,108.309,106.936
283,112.59,108.352,106.964
284,112.53,108.393,106.992
285,112.48,108.434,107.019
286,112.41,108.474,107.046
287,112.73,108.516,107.075
288,112.22,108.553,107.1
289,112.2,108.589,107.126
290,112.32,108.626,107.152
291,112.57,108.665,107.179
292,112.56,108.704,107.205
293,112.15,108.738,107.23
294,112.33,108.774,107.255
295,112.5,108.811,107.282
296,112.56,108.849,107.308
297,112.17,108.882,107.332
298,111.82,108.911,107.355
299,112.02,108.942,107.378
300,112.18,108.974,107.402
301,112.14,109.006,107.425
302,112.21,109.037,107.449
303,112,109.067,107.472
304,111.8,109.094,107.494
305,111.76,109.121,107.515
306,111.67,109.146,107.536
307,111.65,109.171,107.556
308,111.53,109.194,107.576
309,111.56,109.218,107.596
310,111.42,109.24,107.615
311,111.37,109.261,107.634
312,111.41,109.282,107.652
313,111.34,109.303,107.671
314,111.11,109.321,107.688
315,111,109.338,107.705
316,110.89,109.353,107.72
317,110.41,109.364,107.734
318,110.1,109.371,107.746
319,110.35,109.381,107.759
320,110.4,109.391,107.772
321,110.03,109.397,107.783
322,109.56,109.399,107.792
323,109.24,109.397,107.799
324,109.18,109.395,107.806
325,109.22,109.393,107.813
326,109.69,109.396,107.822
327,110.03,109.403,107.833
328,110.31,109.412,107.846
329,110.57,109.423,107.859
330,110.73,109.436,107.874
331,110.69,109.449,107.888
332,110.86,109.463,107.903
333,110.82,109.476,107.917
334,111.26,109.494,107.934
335,110.94,109.508,107.949
336,111.29,109.526,107.965
337,111.14,109.542,107.981
338,111.36,109.56,107.998
339,111.35,109.578,108.015
340,111.73,109.599,108.033
341,111.8,109.621,108.052
342,111.89,109.644,108.071
343,111.82,109.665,108.09
344,111.92,109.688,108.109
345,112.07,109.712,108.129
346,112.12,109.736,108.149
347,112.27,109.761,108.169
348,112.71,109.79,108.192
349,112.78,109.82,108.215
350,113.08,109.852,108.239
351,113.19,109.886,108.264
352,113.22,109.919,108.289
353,113.84,109.958,108.316
354,113.74,109.995,108.343
355,113.25,110.028,108.368
356,113.22,110.06,108.392
357,112.86,110.087,108.414
358,113.549,110.122,108.44
359,113.335,110.154,108.464
360,113.724,110.189,108.49
361,112.91,110.216,108.513
362,114.826,110.262,108.544
363,113.569,110.295,108.569
364,112.84,110.32,108.59
365,112.69,110.344,108.611
366,112.868,110.369,108.632
367,112.63,110.392,108.652
368,112.53,110.413,108.671
369,112.24,110.431,108.689
370,112.73,110.454,108.709
371,112.46,110.474,108.728
372,113.222,110.501,108.75
373,112.935,110.526,108.771
374,112.61,110.546,108.79
375,112.37,110.564,108.808
376,112.28,110.581,108.826
377,112.19,110.597,108.842
378,112.391,110.615,108.86
379,113.01,110.639,108.881
380,112.12,110.654,108.897
381,112.12,110.668,108.913
382,112.12,110.683,108.929
383,112.254,110.699,108.946
384,113.253,110.724,108.967
385,113.144,110.748,108.988
386,112.747,110.768,109.007
387,112.581,110.786,109.024
388,113.015,110.808,109.044
389,112.848,110.828,109.063
390,113.555,110.856,109.086
391,113.514,110.882,109.108
392,113.18,110.905,109.128
393,113.18,110.928,109.148
394,113.18,110.95,109.168
395,114.625,110.987,109.196
396,114.431,111.021,109.222
397,113.883,111.049,109.245
398,114.228,111.081,109.27
399,114.138,111.111,109.294
400,114.543,111.145,109.32
401,114.769,111.182,109.348
402,115.833,111.228,109.38
403,113.514,111.251,109.4
404,112.44,111.262,109.416
405,112.4,111.274,109.431
406,113.835,111.299,109.453
407,113.025,111.316,109.47
408,113.503,111.338,109.49
409,112.63,111.351,109.506
410,112.12,111.359,109.519
411,112.86,111.374,109.536
412,113.034,111.39,109.553
413,113.998,111.416,109.575
414,112.07,111.423,109.588
415,112.03,111.429,109.6
416,113.153,111.446,109.618
417,112.013,111.451,109.63
418,111.89,111.456,109.641
419,112.275,111.464,109.654
420,111.89,111.468,109.665
421,112.309,111.477,109.678
422,111.88,111.481,109.689
423,111.88,111.485,109.7
424,112.42,111.494,109.714
425,111.97,111.499,109.725
426,112.064,111.504,109.737
427,111.83,111.507,109.747
428,112.426,111.517,109.761
429,112.902,111.53,109.776
430,111.81,111.533,109.786
431,112.385,111.542,109.799
432,112.883,111.555,109.815
433,112.8,111.567,109.83
434,113.06,111.582,109.846
435,121.67,111.683,109.905
436,119.523,111.761,109.953
437,118.04,111.823,109.993
438,117.99,111.884,110.033
439,117.56,111.941,110.07
440,117.73,111.999,110.109
441,118.02,112.058,110.148
442,117.66,112.114,110.186
443,117.98,112.173,110.224
444,118.03,112.231,110.263
445,117.78,112.286,110.301
446,118.06,112.343,110.34
447,118.07,112.4,110.378
448,117.97,112.456,110.416
449,118.1,112.512,110.454
450,117.85,112.565,110.491
451,118.02,112.619,110.529
452,118.14,112.674,110.567
453,118.38,112.731,110.606
454,118.45,112.788,110.645
455,118.5,112.845,110.684
456,118.21,112.898,110.722
457,118.56,112.955,110.761
458,118.6,113.011,110.8
459,118.65,113.067,110.839
460,118.46,113.121,110.877
461,118.59,113.175,110.915
462,118.54,113.228,110.953
463,118.33,113.279,110.99
464,118.59,113.332,111.028
465,118.49,113.383,111.065
466,118.67,113.436,111.103
467,118.81,113.489,111.142
468,118.81,113.542,111.18
469,118.6,113.593,111.217
470,118.32,113.64,111.252
471,118.66,113.69,111.289
472,118.5,113.737,111.325
473,118.4,113.784,111.361
474,118.8,113.834,111.398
475,118.75,113.883,111.434
476,118.8,113.932,111.471
477,118.63,113.978,111.507
478,118.48,114.023,111.542
479,118.56,114.068,111.577
480,118.63,114.114,111.612
481,118.56,114.158,111.646
482,118.53,114.201,111.681
483,118.67,114.246,111.716
484,118.7,114.29,111.75
485,118.57,114.333,111.784
486,118.29,114.372,111.817
487,118.5,114.413,111.85
488,118.37,114.453,111.883
489,118.76,114.496,111.917
490,118.79,114.538,111.951
491,118.77,114.58,111.985
492,118.89,114.623,112.02
493,118.76,114.664,112.053
494,118.92,114.707,112.088
495,118.48,114.744,112.12
496,118.76,114.784,112.153
497,118.54,114.822,112.184
498,118.7,114.86,112.217
499,118.54,114.897,112.249
500,118.87,114.936,112.282
501,118.96,114.976,112.315
502,118.65,115.013,112.346
503,118.98,115.052,112.38
504,118.74,115.089,112.411
505,119.02,115.128,112.444
506,118.78,115.165,112.476
507,118.68,115.2,112.507
508,119.08,115.238,112.54
509,119.11,115.277,112.572
510,118.94,115.313,112.604
511,118.67,115.347,112.634
512,118.57,115.379,112.664
513,118.6,115.411,112.694
514,118.37,115.44,112.722
515,118.47,115.47,112.751
516,118.3,115.498,112.778
517,118.26,115.526,112.806
518,118.27,115.553,112.833
519,118.15,115.579,112.859
520,118.1,115.604,112.885
521,118,115.628,112.911
522,117.94,115.651,112.936
523,117.92,115.674,112.961
524,117.69,115.694,112.984
525,117.69,115.713,113.008
526,117.49,115.731,113.03
527,117.33,115.747,113.052
528,114.52,115.735,113.059
529,114.65,115.724,113.067
530,113.83,115.705,113.071
531,111.864,115.667,113.065
532,111.62,115.627,113.058
533,111.32,115.584,113.049
534,111.21,115.54,113.04
535,110.78,115.493,113.028
536,110.73,115.446,113.017
537,110.47,115.396,113.004
538,110.2,115.344,112.99
539,109.93,115.29,112.975
540,109.73,115.235,112.959
541,109.28,115.176,112.941
542,109.46,115.119,112.923
543,109.02,115.058,112.904
544,108.88,114.997,112.884
545,108.41,114.931,112.861
546,108.15,114.864,112.838
547,108.18,114.797,112.815
548,108.03,114.73,112.791
549,107.84,114.661,112.766
550,107.68,114.592,112.741
551,107.28,114.519,112.713
552,106.59,114.44,112.683
553,106.38,114.36,112.651
554,106.38,114.281,112.62
555,106.4,114.202,112.589
556,106.2,114.123,112.557
557,106.25,114.044,112.526
558,106.11,113.965,112.494
559,106.01,113.886,112.461
560,106.15,113.809,112.43
561,106.09,113.732,112.398
562,106.12,113.657,112.367
563,105.77,113.578,112.334
564,105.6,113.499,112.301
565,105.56,113.42,112.267
566,105.64,113.342,112.234
567,105.98,113.269,112.203
568,106.05,113.197,112.172
569,105.86,113.124,112.141
570,105.68,113.05,112.108
571,105.5,112.975,112.075
572,105.54,112.901,112.043
573,105.49,112.827,112.01
574,105.9,112.758,111.98
575,105.54,112.687,111.948
576,105.62,112.616,111.916
577,105.27,112.543,111.883
578,104.83,112.467,111.848
579,104.64,112.389,111.812
580,104.29,112.308,111.774
581,103.77,112.223,111.734
582,103.63,112.138,111.694
583,103.53,112.052,111.653
584,103.45,111.966,111.612
585,103.21,111.879,111.57
586,103.35,111.794,111.529
587,102.61,111.703,111.485
588,102.88,111.615,111.442
589,103.47,111.534,111.402
590,102.299,111.442,111.357
591,102.38,111.352,111.312
592,103.57,111.275,111.273
593,103.62,111.198,111.235
594,103.489,111.122,111.197
595,103.489,111.046,111.158
596,103.489,110.971,111.12
597,100.995,110.871,111.069
598,101.935,110.782,111.024
599,101.935,110.694,110.978
600,102.039,110.608,110.934
601,102.44,110.527,110.892
