time,price,fastEma,slowEma
1,93.65,93.65,93.65
2,93.74,93.6518,93.6509
3,93.96,93.6579,93.654
4,93.82,93.6611,93.6556
5,93.8,93.6638,93.6571
6,93.97,93.6699,93.6602
7,93.74,93.6713,93.661
8,93.51,93.6681,93.6595
9,93.4,93.6628,93.6569
10,93.62,93.6619,93.6565
11,93.61,93.6609,93.6561
12,94.03,93.6682,93.6598
13,93.56,93.6661,93.6588
14,93.51,93.663,93.6573
15,93.65,93.6627,93.6572
16,94.81,93.6855,93.6687
17,98.43,93.7794,93.7161
18,98.31,93.8691,93.7618
19,98.06,93.9521,93.8046
20,97,94.0125,93.8364
21,97.06,94.0728,93.8684
22,97.07,94.1322,93.9003
23,97.49,94.1987,93.936
24,97.48,94.2636,93.9713
25,97.6629,94.3309,94.008
26,97.57,94.3951,94.0434
27,97.42,94.455,94.077
28,97.4,94.5133,94.1101
29,97.05,94.5635,94.1394
30,97.17,94.6151,94.1695
31,96.99,94.6622,94.1976
32,97.14,94.7112,94.2269
33,97.07,94.7579,94.2551
34,96.9,94.8004,94.2815
35,97.07,94.8453,94.3092
36,97.07,94.8894,94.3367
37,96.95,94.9302,94.3627
38,97.17,94.9745,94.3906
39,96.71,95.0089,94.4137
40,97.18,95.0519,94.4412
41,97.43,95.099,94.471
42,97.37,95.1439,94.4998
43,96.41,95.169,94.5188
44,95.38,95.1732,94.5274
45,94.5604,95.161,94.5277
46,93.73,95.1327,94.5198
47,93.34,95.0972,94.508
48,93.07,95.0571,94.4937
49,92.22,95.0009,94.4711
50,93.15,94.9642,94.458
51,93.22,94.9297,94.4456
52,93.31,94.8976,94.4343
53,93.63,94.8725,94.4263
54,93.91,94.8535,94.4212
55,94.03,94.8372,94.4173
56,93.7,94.8146,94.4102
57,93.9102,94.7967,94.4052
58,92.5732,94.7527,94.387
59,92.61,94.7103,94.3693
60,92.96,94.6756,94.3553
61,93.02,94.6428,94.342
62,93.9127,94.6284,94.3377
63,94.4314,94.6245,94.3386
64,94.72,94.6264,94.3424
65,94.85,94.6308,94.3475
66,94.89,94.6359,94.3529
67,96.1937,94.6668,94.3712
68,95.4661,94.6826,94.3821
69,94.7017,94.683,94.3853
70,95.0902,94.691,94.3923
71,96.75,94.7318,94.4157
72,95.8958,94.7549,94.4305
73,95.08,94.7613,94.4369
74,96.1447,94.7887,94.4539
75,96.7839,94.8282,94.4771
76,96.89,94.869,94.5011
77,96.4802,94.9009,94.5208
78,96.5398,94.9334,94.5409
79,95.8328,94.9512,94.5538
80,97.24,94.9965,94.5805
81,96.7702,95.0316,94.6023
82,97.28,95.0762,94.6289
83,97.2069,95.1184,94.6546
84,96.8192,95.152,94.6761
85,97.53,95.1991,94.7045
86,96.9428,95.2337,94.7268
87,97.57,95.2799,94.7551
88,97.58,95.3255,94.7832
89,96.6771,95.3522,94.802
90,96.7977,95.3809,94.8219
91,96.2755,95.3986,94.8363
92,97.1689,95.4336,94.8596
93,96.6447,95.4576,94.8773
94,96.2317,95.4729,94.8908
95,96.2317,95.488,94.9041
96,94.8851,95.476,94.9039
97,94.8851,95.4643,94.9038
98,94.134,95.438,94.8961
99,93.6588,95.4028,94.8838
100,93.6588,95.3682,94.8716
101,93.1318,95.3239,94.8543
102,91.9119,95.2564,94.825
103,92.5478,95.2027,94.8024
104,92.2695,95.1447,94.7771
105,91.7059,95.0766,94.7466
106,91.1203,94.9982,94.7105
107,91.7593,94.9341,94.6811
108,91.7593,94.8712,94.6521
109,90.9334,94.7932,94.6151
110,90.9334,94.7168,94.5784
111,90.7545,94.6383,94.5404
112,90.7545,94.5614,94.5027
113,90.7545,94.4861,94.4654
114,90.0471,94.3982,94.4215
115,89.1817,94.2949,94.3693
116,84.51,94.1011,94.2712
117,85.0923,93.9227,94.1799
118,84.6279,93.7387,94.0848
119,84.7,93.5597,93.9915
120,84.92,93.3886,93.9012
121,85.1522,93.2255,93.8141
122,85.09,93.0644,93.7273
123,85.39,92.9124,93.6444
124,86.19,92.7793,93.5702
125,86.35,92.652,93.4984
126,86.35,92.5272,93.4272
127,86.0085,92.3981,93.3534
128,86.0085,92.2716,93.2803
129,85.2593,92.1327,93.2005
130,85.1592,91.9946,93.1205
131,84.7859,91.8519,93.0376
132,85.5078,91.7263,92.9627
133,86.2184,91.6172,92.8955
134,86.0178,91.5063,92.8271
135,85.2137,91.3817,92.7514
136,84.6797,91.249,92.671
137,84.3229,91.1119,92.588
138,84.4379,90.9797,92.5069
139,86.245,90.8859,92.4446
140,86.3327,90.7958,92.3838
141,85.1209,90.6834,92.3115
142,85.5765,90.5823,92.2445
143,85.7451,90.4865,92.1798
144,88.1564,90.4403,92.1398
145,90.6369,90.4442,92.1248
146,90.059,90.4366,92.1043
147,92.8384,90.4842,92.1116
148,93.0333,90.5346,92.1207
149,92.8438,90.5804,92.1279
150,93.75,90.6431,92.1441
151,93.8317,90.7063,92.1609
152,93.0159,90.752,92.1694
153,94.18,90.8199,92.1894
154,93.8501,90.8799,92.2059
155,95.13,90.9641,92.235
156,91.62,90.977,92.2289
157,91.4898,90.9872,92.2215
158,92.0139,91.0075,92.2195
159,91.6757,91.0208,92.214
160,93.5298,91.0704,92.2271
161,94.33,91.135,92.2481
162,93.4337,91.1805,92.2599
163,92.9094,91.2147,92.2663
164,93.2164,91.2544,92.2758
165,91.743,91.2641,92.2705
166,91.743,91.2735,92.2652
167,90.203,91.2523,92.2447
168,90.1795,91.2311,92.2242
169,91.13,91.2291,92.2133
170,90.7681,91.22,92.1989
171,89.6178,91.1882,92.1732
172,90.0749,91.1662,92.1523
173,89.4491,91.1322,92.1254
174,90.2144,91.114,92.1064
175,89.7109,91.0862,92.0826
176,90.0573,91.0659,92.0624
177,89.8264,91.0413,92.0402
178,89.9075,91.0189,92.019
179,91.313,91.0247,92.0119
180,90.86,91.0214,92.0005
181,86,90.922,91.9408
182,91.09,90.9253,91.9323
183,91.27,90.9321,91.9257
184,91.314,90.9397,91.9196
185,91.9992,90.9607,91.9204
186,93.2524,91.0061,91.9337
187,92.3726,91.0331,91.938
188,91.71,91.0465,91.9358
189,92.2306,91.07,91.9387
190,92.04,91.0892,91.9397
191,91.61,91.0995,91.9364
192,92.15,91.1203,91.9386
193,92.29,91.1435,91.9421
194,91.99,91.1602,91.9425
195,92.2,91.1808,91.9451
196,91.93,91.1957,91.9449
197,92.19,91.2153,91.9474
198,92.44,91.2396,91.9523
199,92.02,91.255,91.953
200,91.95,91.2688,91.9529
201,91.92,91.2817,91.9526
202,91.79,91.2918,91.951
203,91.88,91.3034,91.9503
204,91.96,91.3164,91.9504
205,92.1367,91.3327,91.9522
206,92.01,91.3461,91.9528
207,92.39,91.3667,91.9571
