time,price,fastEma,slowEma
1,93.65,93.65,93.65
2,93.74,93.6509,93.6504
3,93.96,93.654,93.652
4,93.82,93.6556,93.6528
5,93.8,93.6571,93.6536
6,93.97,93.6602,93.6551
7,93.74,93.661,93.6556
8,93.51,93.6595,93.6548
9,93.4,93.6569,93.6536
10,93.62,93.6565,93.6534
11,93.61,93.6561,93.6532
12,94.03,93.6598,93.6551
13,93.56,93.6588,93.6546
14,93.51,93.6573,93.6539
15,93.65,93.6572,93.6539
16,94.81,93.6687,93.6596
17,98.43,93.7161,93.6834
18,98.31,93.7618,93.7065
19,98.06,93.8046,93.7282
20,97,93.8364,93.7445
21,97.06,93.8684,93.7611
22,97.07,93.9003,93.7776
23,97.49,93.936,93.7961
24,97.48,93.9713,93.8144
25,97.6629,94.008,93.8336
26,97.57,94.0434,93.8523
27,97.42,94.077,93.8701
28,97.4,94.1101,93.8877
29,97.05,94.1394,93.9034
30,97.17,94.1695,93.9197
31,96.99,94.1976,93.9351
32,97.14,94.2269,93.951
33,97.07,94.2551,93.9666
34,96.9,94.2815,93.9812
35,97.07,94.3092,93.9966
36,97.07,94.3367,94.012
37,96.95,94.3627,94.0266
38,97.17,94.3906,94.0423
39,96.71,94.4137,94.0556
40,97.18,94.4412,94.0712
41,97.43,94.471,94.0879
42,97.37,94.4998,94.1043
43,96.41,94.5188,94.1158
44,95.38,94.5274,94.1221
45,94.5604,94.5277,94.1243
46,93.73,94.5198,94.1223
47,93.34,94.508,94.1184
48,93.07,94.4937,94.1132
49,92.22,94.4711,94.1037
50,93.15,94.458,94.099
51,93.22,94.4456,94.0946
52,93.31,94.4343,94.0907
53,93.63,94.4263,94.0884
54,93.91,94.4212,94.0875
55,94.03,94.4173,94.0872
56,93.7,94.4102,94.0853
57,93.9102,94.4052,94.0844
58,92.5732,94.387,94.0769
59,92.61,94.3693,94.0696
60,92.96,94.3553,94.064
61,93.02,94.342,94.0588
62,93.9127,94.3377,94.0581
63,94.4314,94.3386,94.06
64,94.72,94.3424,94.0632
65,94.85,94.3475,94.0672
66,94.89,94.3529,94.0713
67,96.1937,94.3712,94.0819
68,95.4661,94.3821,94.0888
69,94.7017,94.3853,94.0918
70,95.0902,94.3923,94.0968
71,96.75,94.4157,94.11
72,95.8958,94.4305,94.1189
73,95.08,94.4369,94.1237
74,96.1447,94.4539,94.1338
75,96.7839,94.4771,94.147
76,96.89,94.5011,94.1607
77,96.4802,94.5208,94.1723
78,96.5398,94.5409,94.1841
79,95.8328,94.5538,94.1923
80,97.24,94.5805,94.2075
81,96.7702,94.6023,94.2203
82,97.28,94.6289,94.2356
83,97.2069,94.6546,94.2504
84,96.8192,94.6761,94.2632
85,97.53,94.7045,94.2795
86,96.9428,94.7268,94.2928
87,97.57,94.7551,94.3091
88,97.58,94.7832,94.3254
89,96.6771,94.802,94.3372
90,96.7977,94.8219,94.3494
91,96.2755,94.8363,94.359
92,97.1689,94.8596,94.373
93,96.6447,94.8773,94.3844
94,96.2317,94.8908,94.3936
95,96.2317,94.9041,94.4028
96,94.8851,94.9039,94.4052
97,94.8851,94.9038,94.4076
98,94.134,94.8961,94.4062
99,93.6588,94.8838,94.4025
100,93.6588,94.8716,94.3988
101,93.1318,94.8543,94.3924
102,91.9119,94.825,94.3801
103,92.5478,94.8024,94.3709
104,92.2695,94.7771,94.3604
105,91.7059,94.7466,94.3472
106,91.1203,94.7105,94.3311
107,91.7593,94.6811,94.3183
108,91.7593,94.6521,94.3055
109,90.9334,94.6151,94.2887
110,90.9334,94.5784,94.272
111,90.7545,94.5404,94.2544
112,90.7545,94.5027,94.237
113,90.7545,94.4654,94.2196
114,90.0471,94.4215,94.1988
115,89.1817,94.3693,94.1738
116,84.51,94.2712,94.1256
117,85.0923,94.1799,94.0805
118,84.6279,94.0848,94.0334
119,84.7,93.9915,93.9868
120,84.92,93.9012,93.9416
121,85.1522,93.8141,93.8978
122,85.09,93.7273,93.8538
123,85.39,93.6444,93.8116
124,86.19,93.5702,93.7736
125,86.35,93.4984,93.7366
126,86.35,93.4272,93.6997
127,86.0085,93.3534,93.6614
128,86.0085,93.2803,93.6232
129,85.2593,93.2005,93.5815
130,85.1592,93.1205,93.5395
131,84.7859,93.0376,93.4958
132,85.5078,92.9627,93.456
133,86.2184,92.8955,93.4199
134,86.0178,92.8271,93.383
135,85.2137,92.7514,93.3422
136,84.6797,92.671,93.299
137,84.3229,92.588,93.2543
138,84.4379,92.5069,93.2103
139,86.245,92.4446,93.1755
140,86.3327,92.3838,93.1414
141,85.1209,92.3115,93.1014
142,85.5765,92.2445,93.0639
143,85.7451,92.1798,93.0274
144,88.1564,92.1398,93.0031
145,90.6369,92.1248,92.9913
146,90.059,92.1043,92.9767
147,92.8384,92.1116,92.976
148,93.0333,92.1207,92.9763
149,92.8438,92.1279,92.9756
150,93.75,92.1441,92.9795
151,93.8317,92.1609,92.9837
152,93.0159,92.1694,92.9839
153,94.18,92.1894,92.9898
154,93.8501,92.2059,92.9941
155,95.13,92.235,93.0048
156,91.62,92.2289,92.9979
157,91.4898,92.2215,92.9903
158,92.0139,92.2195,92.9855
159,91.6757,92.214,92.9789
