time,price,fastEma,slowEma
1,93.34,93.34,93.34
2,93.5637,93.3444,93.3422
3,93.44,93.3463,93.3432
4,93.7378,93.3541,93.3471
5,97.55,93.4372,93.3889
6,97.76,93.5228,93.4324
7,96.69,93.5855,93.4649
8,97.78,93.6685,93.5078
9,97.02,93.7349,93.5427
10,97.44,93.8083,93.5815
11,97.12,93.8739,93.6167
12,96.61,93.928,93.6465
13,95.68,93.9627,93.6667
14,95.77,93.9985,93.6877
15,95.53,94.0288,93.706
16,96.17,94.0712,93.7305
17,96.1855,94.1131,93.7549
18,95.8,94.1465,93.7753
19,96.59,94.1949,93.8033
20,95.79,94.2265,93.8231
21,96.27,94.2669,93.8474
22,96.3,94.3072,93.8718
23,96.59,94.3524,93.8989
24,96.48,94.3945,93.9246
25,96.7,94.4402,93.9522
26,95.42,94.4596,93.9668
27,94.86,94.4675,93.9757
28,94.99,94.4779,93.9858
29,94.76,94.4835,93.9935
30,94.84,94.4905,94.0019
31,94.34,94.4875,94.0052
32,94.69,94.4915,94.0121
33,94.83,94.4982,94.0202
34,94.93,94.5068,94.0293
35,95.07,94.518,94.0396
36,95.88,94.5449,94.0579
37,96.28,94.5793,94.08
38,96.4465,94.6163,94.1036
39,95.6169,94.6361,94.1186
40,96.4,94.671,94.1413
41,96.2205,94.7017,94.162
42,96.64,94.7401,94.1867
43,95.7559,94.7602,94.2023
44,96.72,94.799,94.2273
45,96.75,94.8376,94.2524
46,96.78,94.8761,94.2776
47,96.78,94.9138,94.3025
48,95.4676,94.9248,94.3141
49,94.0655,94.9077,94.3116
50,94.5001,94.8997,94.3135
51,94.5001,94.8918,94.3153
52,93.3634,94.8615,94.3059
53,94.0432,94.8453,94.3033
54,94.12,94.8309,94.3014
55,93.2637,94.7999,94.2911
56,92.6495,94.7573,94.2748
57,91.6468,94.6957,94.2486
58,92.1998,94.6463,94.2282
59,91.97,94.5933,94.2058
60,92.2485,94.5469,94.1863
61,93.46,94.5253,94.1791
62,92.8553,94.4923,94.1659
63,92.1249,94.4454,94.1456
64,90.3573,94.3644,94.1079
65,91.0774,94.2994,94.0777
66,91.6149,94.2462,94.0532
67,92.64,94.2144,94.0392
68,92.8205,94.1868,94.027
69,91.7728,94.139,94.0046
70,92.9502,94.1154,93.9941
71,92.5344,94.0841,93.9796
72,92.4308,94.0514,93.9642
73,92.5085,94.0208,93.9497
74,92.93,93.9992,93.9396
75,92.702,93.9736,93.9272
76,92.3246,93.9409,93.9113
77,91.8235,93.899,93.8905
78,91.8235,93.8579,93.87
79,91.31,93.8074,93.8445
80,91.5242,93.7622,93.8214
81,90.9593,93.7067,93.7929
82,90.427,93.6418,93.7594
83,90.5096,93.5797,93.7271
84,89.8587,93.5061,93.6886
85,89.4558,93.4259,93.6465
86,88.7749,93.3338,93.598
87,88.6,93.24,93.5483
88,89.3436,93.1629,93.5064
89,89.9712,93.0997,93.4713
90,89.7353,93.033,93.4341
91,88.9197,92.9516,93.3892
92,89.5688,92.8846,93.3512
93,89.8413,92.8243,93.3162
94,89.85,92.7654,93.2817
95,89.063,92.6921,93.2398
96,88.4133,92.6074,93.1917
97,88.1342,92.5188,93.1414
98,88.1342,92.432,93.0916
99,90.01,92.384,93.0609
100,90.2,92.3408,93.0325
101,89.5813,92.2861,92.9981
102,90.3537,92.2479,92.9718
103,90.0946,92.2052,92.9432
104,89.64,92.1544,92.9103
105,89.3416,92.0987,92.8748
106,89.5096,92.0475,92.8413
107,88.7893,91.983,92.801
108,90.2,91.9476,92.7751
109,89.4254,91.8977,92.7418
110,89.3612,91.8475,92.7082
111,90.34,91.8176,92.6846
112,90.35,91.7886,92.6614
113,90.55,91.764,92.6404
114,89.9058,91.7272,92.6131
115,90.73,91.7075,92.5944
116,90.18,91.6772,92.5704
117,91.18,91.6674,92.5565
118,91.61,91.6663,92.5471
119,91.61,91.6651,92.5378
120,90.589,91.6438,92.5184
121,91.8839,91.6486,92.5121
122,91.5377,91.6464,92.5024
123,91.48,91.6431,92.4922
124,91.1533,91.6334,92.4789
125,91.1533,91.6239,92.4657
126,91.1533,91.6146,92.4527
127,90.4266,91.591,92.4325
128,90.6323,91.5721,92.4146
129,90.6323,91.5535,92.3969
130,90.6135,91.5348,92.3791
131,89.8377,91.5012,92.3538
132,89.202,91.4557,92.3225
133,89.6777,91.4205,92.2961
134,90.0171,91.3927,92.2735
135,89.5434,91.3561,92.2463
136,90.6562,91.3422,92.2305
137,89.9417,91.3145,92.2077
138,90.1273,91.291,92.187
139,90.47,91.2747,92.1699
140,89.7108,91.2438,92.1455
141,89.7108,91.2134,92.1212
142,88.6561,91.1628,92.0867
143,88.9465,91.1189,92.0555
144,89.37,91.0842,92.0288
145,89.3295,91.0495,92.0019
146,89.3295,91.0154,91.9753
147,89.3295,90.9821,91.949
148,87.56,90.9143,91.9053
149,88.0237,90.8571,91.8667
150,88.0237,90.8009,91.8285
151,87.3457,90.7325,91.7839
152,87.3117,90.6648,91.7394
153,87.3117,90.5984,91.6953
154,86.4536,90.5163,91.6432
155,85.1752,90.4105,91.5788
156,85.21,90.3076,91.5154
157,85.76,90.2175,91.4582
158,85.9664,90.1333,91.4035
159,86.05,90.0525,91.3502
160,86,89.9722,91.297
161,85.91,89.8918,91.2434
162,86.34,89.8215,91.1946
163,86.8055,89.7617,91.1509
164,86.91,89.7053,91.1087
165,86.5541,89.6429,91.0634
166,86.3962,89.5786,91.017
167,87.2996,89.5334,90.98
168,87.0731,89.4847,90.9411
169,87.5118,89.4457,90.907
170,87.991,89.4169,90.878
171,87.6496,89.3819,90.8459
172,87.9949,89.3544,90.8175
173,87.8051,89.3237,90.7875
174,88.273,89.3029,90.7625
175,88.8,89.293,90.743
176,88.2217,89.2717,90.7179
177,87.3718,89.2341,90.6846
178,86.9732,89.1893,90.6477
179,87.4342,89.1546,90.6157
180,87.4342,89.1205,90.584
181,87.276,89.084,90.5511
182,87.1828,89.0464,90.5176
183,86.5926,88.9978,90.4785
184,86.5926,88.9501,90.4399
185,85.1886,88.8757,90.3876
186,84.8279,88.7955,90.3323
187,86.5569,88.7512,90.2947
188,87.1665,88.7198,90.2636
189,86.7959,88.6817,90.2291
190,86.1948,88.6324,90.189
191,85.3536,88.5675,90.1409
192,85.6372,88.5095,90.096
193,86.2629,88.465,90.0579
194,86.269,88.4215,90.0202
195,86.269,88.3789,89.9829
196,85.7914,88.3277,89.9412
197,86.38,88.2891,89.9057
198,86.38,88.2513,89.8707
199,85.7362,88.2015,89.8295
200,85.4817,88.1476,89.7862
201,84.6659,88.0787,89.7353
202,84.6659,88.0111,89.6849
203,84.0811,87.9333,89.6291
204,84.5285,87.8659,89.5783
205,85.41,87.8172,89.5369
206,85.4275,87.7699,89.496
207,84.8093,87.7113,89.4493
208,85.73,87.6721,89.4123
209,84.8774,87.6167,89.3672
210,84.8774,87.5625,89.3225
211,84.5604,87.503,89.2752
212,84.5057,87.4437,89.2277
213,85.1393,87.398,89.187
