time,bid,ask
1,100.89,0.00
1,100.34,0.00
1,101.77,0.00
1,101.60,0.00
1,102.04,0.00
1,102.10,0.00
1,102.04,0.00
1,100.34,0.00
2,100.34,101.34
2,100.13,101.34
2,0.00,101.34
2,100.79,101.34
2,0.00,101.34
2,101.82,0.00
2,101.56,0.00
3,0.00,0.00
3,0.00,100.06
3,101.98,0.00
3,101.94,0.00
3,102.43,0.00
3,101.94,0.00
3,100.75,0.00
3,0.00,0.00
3,0.00,101.68
4,0.00,99.81
4,0.00,0.00
4,0.00,100.88
4,0.00,0.00
4,0.00,107.73
4,101.32,0.00
4,0.00,0.00
4,0.00,107.64
4,102.15,107.64
5,0.00,107.64
5,102.29,107.64
5,0.00,107.64
5,102.34,107.64
5,104.57,107.64
5,0.00,107.64
5,104.76,107.64
5,105.40,107.64
6,105.40,0.00
6,104.76,0.00
6,104.65,0.00
6,105.74,0.00
6,105.04,0.00
6,104.84,0.00
6,104.64,0.00
6,0.00,104.13
6,0.00,95.60
7,0.00,95.61
7,0.00,0.00
7,104.64,0.00
7,0.00,0.00
7,0.00,107.31
7,0.00,104.23
7,0.00,103.75
8,0.00,103.66
8,0.00,103.75
8,0.00,102.98
8,0.00,103.47
8,0.00,102.51
8,0.00,102.32
8,0.00,102.51
9,103.13,103.47
9,0.00,103.47
9,0.00,103.75
9,0.00,103.82
9,0.00,104.09
9,104.04,104.09
9,104.04,104.10
10,0.00,104.10
10,0.00,107.31
10,104.41,107.31
10,104.41,109.95
10,104.41,107.21
10,104.35,107.21
10,104.28,107.21
10,0.00,107.21
11,104.78,107.21
11,0.00,107.21
11,105.32,107.21
11,105.32,106.27
11,104.84,106.27
12,106.05,106.27
12,106.05,107.21
12,107.01,107.21
12,107.01,109.95
12,106.05,109.95
12,106.05,107.66
12,106.05,107.26
12,106.05,106.66
12,105.61,106.66
12,105.61,107.26
12,105.61,107.66
13,105.61,106.77
13,105.61,109.95
13,108.07,109.95
13,108.07,0.00
13,108.07,108.89
13,108.07,108.92
13,108.07,0.00
13,105.61,0.00
13,108.37,0.00
14,108.91,0.00
14,108.37,0.00
14,108.12,0.00
14,108.12,108.30
14,108.12,0.00
14,105.61,0.00
15,105.61,108.07
15,105.61,0.00
15,105.61,107.17
15,105.61,106.34
15,104.84,106.34
