time,price,fastEma,slowEma
1,101.776,101.776,101.776
2,100.133,101.769,101.772
3,102.438,101.772,101.774
4,107.73,101.796,101.786
5,104.57,101.807,101.791
6,105.05,101.82,101.798
7,104.647,101.831,101.803
8,102.982,101.836,101.806
9,103.827,101.844,101.81
10,104.351,101.854,101.815
11,104.789,101.865,101.821
12,105.323,101.879,101.828
13,107.26,101.901,101.839
14,108.076,101.925,101.851
15,108.125,101.95,101.864
16,103.426,101.956,101.867
17,108.4,101.982,101.88
18,108.4,102.007,101.893
19,106.136,102.024,101.901
20,107.901,102.047,101.913
21,108.028,102.071,101.926
22,106.156,102.087,101.934
23,106.165,102.104,101.943
24,106.33,102.12,101.951
25,106.806,102.139,101.961
26,102.121,102.139,101.961
27,102.486,102.14,101.962
28,106.007,102.156,101.97
29,100.944,102.151,101.968
30,100.944,102.146,101.966
31,103.201,102.15,101.969
32,101.38,102.147,101.968
33,103.204,102.152,101.97
34,102.77,102.154,101.972
35,102.77,102.157,101.973
36,101.97,102.156,101.973
37,103.537,102.161,101.976
38,105.915,102.176,101.984
39,99.94,102.167,101.98
40,105.445,102.18,101.987
41,105.37,102.193,101.994
42,105.835,102.208,102.002
43,103.13,102.211,102.004
44,102.46,102.212,102.005
45,102.88,102.215,102.006
46,99.76,102.205,102.002
47,99.11,102.193,101.996
48,99.11,102.181,101.99
49,99.7832,102.171,101.986
50,99.6416,102.161,101.981
51,108.907,102.188,101.995
52,98.1878,102.172,101.988
53,109.697,102.202,102.003
54,105.61,102.216,102.01
55,106.001,102.231,102.018
56,106.446,102.247,102.027
57,108.576,102.273,102.04
58,105.118,102.284,102.046
59,104.356,102.292,102.051
60,103.789,102.298,102.054
61,104.326,102.306,102.059
62,102.404,102.307,102.06
63,101.584,102.304,102.059
64,100.489,102.297,102.055
65,101.308,102.293,102.054
66,101.276,102.289,102.052
67,100.866,102.283,102.05
68,102.169,102.283,102.05
69,102.859,102.285,102.052
70,102.125,102.284,102.052
71,101.784,102.282,102.052
72,102.498,102.283,102.052
73,99.43,102.272,102.047
74,99.6737,102.261,102.042
75,100.333,102.254,102.039
76,99.9257,102.244,102.035
77,104.277,102.252,102.039
78,103.56,102.258,102.042
79,105.98,102.273,102.05
80,105.905,102.287,102.058
81,102.018,102.286,102.058
82,102.072,102.285,102.058
83,103.626,102.29,102.061
84,104.26,102.298,102.065
85,104.219,102.306,102.07
86,105.58,102.319,102.077
87,99.86,102.309,102.072
88,103.336,102.313,102.075
89,103.358,102.318,102.077
90,103.635,102.323,102.08
