time,price,fastEma,slowEma
1,101.601,101.601,101.601
2,100.797,101.6,101.6
3,102.438,101.601,101.601
4,101.68,101.601,101.601
5,102.296,101.603,101.602
6,105.748,101.611,101.606
7,104.647,101.617,101.609
8,102.982,101.62,101.611
9,103.827,101.624,101.613
10,107.31,101.636,101.619
11,104.789,101.642,101.622
12,107.01,101.653,101.627
13,108.924,101.667,101.634
14,108.076,101.68,101.641
15,108.075,101.693,101.647
16,104.205,101.698,101.65
17,107.676,101.71,101.656
18,105.694,101.718,101.66
19,106.136,101.727,101.664
20,107.901,101.739,101.671
21,107.901,101.751,101.677
22,108.028,101.764,101.683
23,106.156,101.773,101.688
24,105.44,101.78,101.691
25,107.017,101.79,101.697
26,107.557,101.802,101.703
27,102.841,101.804,101.704
28,104.37,101.809,101.706
29,106.007,101.817,101.711
30,102.81,101.819,101.712
31,103.201,101.822,101.713
32,100.945,101.82,101.712
33,102.951,101.823,101.714
34,102.891,101.825,101.715
35,102.13,101.825,101.715
36,103.773,101.829,101.717
37,105.155,101.836,101.721
38,105.915,101.844,101.725
39,104.97,101.85,101.728
40,99.95,101.847,101.726
41,105.782,101.854,101.73
42,100.03,101.851,101.729
43,100.03,101.847,101.727
44,103.13,101.85,101.728
45,102.22,101.85,101.729
46,101.05,101.849,101.728
47,100.754,101.847,101.727
48,99.11,101.841,101.725
49,99.7832,101.837,101.723
50,109.57,101.853,101.731
51,109.83,101.868,101.739
52,98.1878,101.861,101.735
53,109.697,101.877,101.743
54,105.61,101.884,101.747
55,107.32,101.895,101.753
56,106.446,101.904,101.757
57,108.161,101.917,101.764
58,104.184,101.921,101.766
59,104.356,101.926,101.769
60,103.237,101.929,101.77
61,104.326,101.934,101.773
62,102.404,101.934,101.773
63,101.994,101.935,101.774
64,101.41,101.934,101.773
65,100.736,101.931,101.772
66,101.347,101.93,101.772
67,100.866,101.928,101.771
68,102.169,101.928,101.771
69,102.859,101.93,101.772
70,102.628,101.932,101.773
71,102.61,101.933,101.774
72,102.498,101.934,101.775
73,102.498,101.935,101.775
74,100.403,101.932,101.774
75,100.333,101.929,101.773
76,100.147,101.925,101.771
77,104.277,101.93,101.773
78,104.449,101.935,101.776
79,105.29,101.942,101.78
80,105.905,101.95,101.784
81,102.018,101.95,101.784
82,103.03,101.952,101.785
83,103.32,101.955,101.787
84,103.989,101.959,101.789
85,102.825,101.961,101.79
86,105.405,101.967,101.794
87,99.86,101.963,101.792
88,102.689,101.965,101.793
89,103.603,101.968,101.794
90,99.7532,101.964,101.792
91,101.57,101.963,101.792
92,103.512,101.966,101.794
93,103.391,101.969,101.795
94,103.391,101.972,101.797
95,102.75,101.973,101.798
96,103.289,101.976,101.8
97,100.996,101.974,101.799
98,102.477,101.975,101.799
99,107.093,101.985,101.805
100,107.257,101.996,101.81
101,105.6,102.003,101.814
102,107.23,102.013,101.819
103,105.697,102.021,101.823
104,106.042,102.029,101.827
105,106.726,102.038,101.832
106,107.33,102.049,101.838
107,107.182,102.059,101.843
108,105.84,102.066,101.847
109,106.028,102.074,101.851
110,103.822,102.078,101.853
111,104.889,102.083,101.856
112,102.435,102.084,101.857
113,100.802,102.081,101.856
114,102.14,102.082,101.856
115,101.371,102.08,101.856
116,102.139,102.08,101.856
117,105.166,102.086,101.859
118,104.79,102.092,101.862
119,104.296,102.096,101.865
120,101.777,102.096,101.865
121,99.5045,102.09,101.862
122,99.5045,102.085,101.86
123,100.016,102.081,101.858
124,98.7722,102.075,101.855
125,102.73,102.076,101.856
126,100.705,102.073,101.855
127,100.416,102.07,101.853
128,97.87,102.061,101.849
129,101.81,102.061,101.849
130,101.052,102.059,101.848
131,102.077,102.059,101.849
132,102.515,102.06,101.849
133,102.072,102.06,101.849
134,102.26,102.06,101.85
135,104.168,102.064,101.852
136,101.558,102.063,101.852
137,101.529,102.062,101.852
138,101.533,102.061,101.851
139,101.566,102.06,101.851
140,102.517,102.061,101.852
141,101.752,102.061,101.852
142,102.592,102.062,101.852
143,102.76,102.063,101.853
144,103.629,102.066,101.855
145,105.778,102.074,101.859
146,104.133,102.078,101.861
147,103.734,102.081,101.863
