time,TRADER_FUNDAMENTAL_00,TRADER_FUNDAMENTAL_01,TRADER_FUNDAMENTAL_02,TRADER_FUNDAMENTAL_03,TRADER_FUNDAMENTAL_04,TRADER_FUNDAMENTAL_05,TRADER_FUNDAMENTAL_06,TRADER_FUNDAMENTAL_07,TRADER_FUNDAMENTAL_08,TRADER_FUNDAMENTAL_09,TRADER_FUNDAMENTAL_10,TRADER_FUNDAMENTAL_11,TRADER_FUNDAMENTAL_12,TRADER_FUNDAMENTAL_13,TRADER_FUNDAMENTAL_14,TRADER_FUNDAMENTAL_15,TRADER_FUNDAMENTAL_16,TRADER_FUNDAMENTAL_17,TRADER_FUNDAMENTAL_18,TRADER_FUNDAMENTAL_19,TRADER_MAO_00,TRADER_MAO_01,TRADER_MAO_02,TRADER_MAO_03,TRADER_MAO_04,TRADER_MAO_05,TRADER_MAO_06,TRADER_MAO_07,TRADER_MAO_08,TRADER_MAO_09,TRADER_MAO_10,TRADER_MAO_11,TRADER_MAO_12,TRADER_MAO_13,TRADER_MAO_14,TRADER_MAO_15,TRADER_MAO_16,TRADER_MAO_17,TRADER_MAO_18,TRADER_MAO_19,TRADER_MAO_50,TRADER_MAO_51,TRADER_MAO_52,TRADER_MAO_53,TRADER_MAO_54,TRADER_MAO_55,TRADER_MAO_56,TRADER_MAO_57,TRADER_MAO_58,TRADER_MAO_59,TRADER_MAO_60,TRADER_MAO_61,TRADER_MAO_62,TRADER_MAO_63,TRADER_MAO_64,TRADER_MAO_65,TRADER_MAO_66,TRADER_MAO_67,TRADER_MAO_68,TRADER_MAO_69,TRADER_Q_LEARNING_00,TRADER_Q_LEARNING_01,TRADER_Q_LEARNING_02,TRADER_Q_LEARNING_03,TRADER_Q_LEARNING_04,TRADER_RANDOM_00,TRADER_RANDOM_01,TRADER_RANDOM_02,TRADER_RANDOM_03,TRADER_RANDOM_04,TRADER_RANDOM_05,TRADER_RANDOM_06,TRADER_RANDOM_07,TRADER_RANDOM_08,TRADER_RANDOM_09,TRADER_RANDOM_10,TRADER_RANDOM_11,TRADER_RANDOM_12,TRADER_RANDOM_13,TRADER_RANDOM_14,TRADER_RANDOM_15,TRADER_RANDOM_16,TRADER_RANDOM_17,TRADER_RANDOM_18,TRADER_RANDOM_19
50,18.998420,-3.514330,3.225090,-27.472290,16.577280,4.914750,5.532750,-19.262700,-32.878870,-9.154910,4.845600,-19.756120,28.718210,8.978470,-2.131440,-2.670950,9.938880,14.524740,-26.695480,-27.471150,2.117540,5.827380,-2.802000,3.317540,-8.770000,3.147050,-4.426240,8.631730,-9.860000,-9.210000,6.466390,0.627540,-0.340000,0.843870,4.237540,1.511560,3.017540,0.810360,0.607540,-1.662460,1.687540,0.647540,-4.208250,0.212680,-0.112460,0.977540,6.943340,-0.530230,2.222260,4.636140,1.069000,7.877260,0.560000,-2.573040,0.828170,-3.423760,6.426050,8.347540,-5.449590,0.421090,9.004460,-19.104930,22.779430,-22.316420,-2.251350,-22.591390,-0.723060,-7.735080,-0.095170,-16.402090,9.180550,12.038080,-7.365800,-14.224140,-4.620290,24.234710,14.244750,40.535010,1.072850,6.489930,2.231600,5.174140,-3.715030,14.806620,-42.521450
100,38.381350,11.484180,-0.678230,-20.507920,11.773510,6.385620,19.712420,-10.685120,-42.511220,-12.227550,24.632480,-21.747800,30.973820,16.791070,-15.834840,9.814350,38.950830,17.154740,-14.697830,-10.633700,-0.287810,3.422030,-0.590000,0.912190,-3.122000,5.359050,-4.426240,6.226380,-4.212000,-3.562000,10.214140,-1.777810,-0.340000,-1.561480,1.832190,-0.893790,0.612190,1.630000,-1.797810,-4.067810,-0.717810,-1.757810,-0.769960,-2.192670,-2.517810,-1.427810,4.537990,-2.935580,-0.183090,4.636140,-1.336350,7.877260,-2.230120,0.865250,0.828170,0.014530,4.020700,5.942190,-2.011300,-2.369030,-21.766360,-1.915620,6.812330,-5.900020,10.804950,-26.530590,-0.558280,17.029970,-10.455670,-10.836040,2.633800,-6.565150,3.473060,-21.086530,-5.336570,24.522510,9.692910,17.661440,-13.379550,6.491040,-27.516180,-23.656250,7.459130,32.597810,-51.793980
150,52.603850,5.044610,3.392060,-23.478320,17.792070,9.772950,42.107350,-1.398770,-56.507210,-4.990040,26.731480,-18.932270,35.835610,16.268350,-13.074230,10.422010,37.864710,29.460890,-39.866690,-9.605720,-0.258710,3.451130,-0.810000,0.941290,-0.910000,5.139050,-4.426240,6.255480,-2.000000,-1.350000,10.214140,-1.748710,-0.340000,-1.532380,1.861290,-0.864690,0.641290,1.630000,-1.768710,-4.038710,-0.688710,-1.728710,-1.968130,-2.163570,-2.488710,-1.398710,4.567090,-2.906480,-0.153990,4.636140,-1.307250,7.877260,1.208170,-0.332920,0.828170,-1.183640,4.049800,5.971290,-3.209470,1.069260,-51.970000,-0.679110,22.219060,-7.585750,-21.175740,-20.613730,-9.501370,38.550440,7.853900,-5.062080,-7.625500,7.739880,-23.696030,-44.804620,5.320080,35.992110,-15.644500,-0.098310,-6.952700,11.380960,-20.502010,-39.490880,20.140970,59.128700,-64.594340
200,49.686660,6.417280,15.268990,-10.493240,17.137190,17.552330,43.876210,3.620580,-51.705140,6.136630,37.843660,-5.777610,42.764520,21.046470,-10.370950,8.257750,45.497640,39.137870,-33.516260,4.242700,-0.972770,2.737070,-3.600120,0.227230,-1.130000,2.348930,-4.426240,5.541420,-2.220000,-1.570000,10.214140,-2.462770,-0.340000,-2.246440,1.147230,-1.578750,-0.072770,1.630000,-2.482770,-4.752770,-1.402770,-2.442770,-2.105430,-2.877630,-3.202770,-2.112770,3.853030,-3.620540,-0.868050,4.636140,-2.021310,7.877260,0.010000,-0.470220,0.828170,-1.320940,3.335740,5.257230,-3.346770,-0.128910,-35.930340,-8.282810,2.854310,-13.753900,-51.146370,-8.690880,-18.963300,31.698530,-6.718760,-14.892260,-8.905280,-8.145020,-21.467510,-49.131100,11.821080,17.211100,-4.249820,-14.141770,-9.672360,13.960200,-15.666290,-28.756750,20.266540,49.440040,-71.879120
250,20.633370,37.398380,45.107810,45.844030,-34.821600,40.615940,26.285190,47.525270,26.065530,34.104860,18.020020,34.941060,35.331780,37.661310,26.207870,37.290540,43.673290,37.621600,18.564540,49.317740,-4.531740,-0.821900,-0.161830,-3.331740,-3.920120,5.787220,-4.426240,1.982450,-5.010120,-4.360120,10.214140,-6.021740,-0.340000,-5.805410,-2.411740,-5.137720,-3.631740,1.630000,-6.041740,-8.311740,-4.961740,-6.001740,-3.119370,-6.436600,-6.761740,-5.671740,0.294060,-7.179510,-4.427020,4.636140,-5.580280,7.877260,-0.127300,-1.484160,0.828170,-2.334880,-0.223230,1.698260,-4.360710,-0.266210,17.072700,30.943670,-118.966250,-113.488350,-74.829660,52.399650,-52.330170,-10.632340,-28.185370,0.030540,16.627430,-45.295470,-11.614170,-12.477110,9.833490,-24.668690,-17.085700,-22.360530,-17.332830,-46.005960,3.136080,-18.757780,-27.569560,14.737620,-48.790990
300,34.147750,36.213840,39.795400,50.797700,-26.979170,42.815950,30.638460,40.152890,42.264090,43.711170,31.563890,42.487780,50.525950,37.431870,25.874280,37.517480,59.132610,49.232210,16.842080,65.517370,-4.297090,-0.587250,-1.360000,-3.097090,-0.481830,4.589050,-4.426240,2.217100,-1.571830,-0.921830,10.214140,-5.787090,-0.340000,-5.570760,-2.177090,-4.903070,-3.397090,1.630000,-5.807090,-8.077090,-4.727090,-5.767090,-1.875650,-6.201950,-6.527090,-5.437090,0.528710,-6.944860,-4.192370,4.636140,-5.345630,7.877260,-1.141240,-0.240440,0.828170,-1.091160,0.011420,1.932910,-3.116990,-1.280150,-8.386530,4.118630,-94.268450,-71.229910,-75.279440,38.263640,-61.702470,-23.717390,-19.693500,2.722840,-0.773030,-40.153000,-18.956750,-11.669950,8.270910,-27.899410,-32.223620,-65.216670,-20.664990,-12.436250,-29.312060,-26.794280,-28.798810,1.574850,-58.841480
350,102.097010,5.908550,-0.498410,-37.657920,84.359720,43.094020,86.666140,-70.116190,4.089010,57.145350,66.586280,36.329640,91.888490,20.055260,-30.886800,9.064250,77.644140,56.432020,-113.150000,23.035460,0.180000,3.889840,-1.497300,1.380000,-1.680000,4.451750,-4.426240,6.694190,-2.770000,-2.120000,10.214140,-11.471820,-0.340000,-1.093670,2.300000,-11.441780,1.080000,1.630000,-1.330000,-13.778910,-0.250000,-1.290000,-4.428130,-1.724860,-2.050000,-0.960000,5.005800,-2.467770,0.284720,4.636140,-0.868540,7.877260,0.102480,-2.792920,0.828170,-3.643640,4.488510,6.410000,-5.669470,-0.036430,-136.990610,-47.880510,64.962800,140.810520,-97.922740,-115.747840,5.402380,72.312480,26.120590,-7.839130,-52.752620,-17.269230,20.387290,-51.548220,-0.108740,28.684340,-77.922520,-119.602910,-34.954840,40.034770,-107.391200,-57.347710,69.805840,85.628110,-103.639290
400,23.719740,48.818550,57.315360,92.446760,-39.268280,47.116180,30.422630,72.660310,68.772310,57.303970,29.573570,68.930610,49.356300,52.958770,60.661290,62.080640,71.419600,70.626620,43.445990,98.907460,-2.490550,-1.758160,-2.511240,-0.500740,-1.817300,3.437810,-5.873590,1.046190,-2.907300,-2.257300,10.214140,-11.471820,-0.340000,-6.741670,-0.782850,-11.441780,-9.890830,1.630000,-6.978000,-13.778910,-5.898000,-6.938000,-8.029890,-7.372860,-7.698000,-6.608000,-0.642200,-8.115770,-5.363280,4.636140,-6.516540,7.877260,-2.450000,-6.394680,0.828170,-7.245400,-1.159490,0.762000,-9.271230,-2.588910,19.062270,-9.211830,-129.714310,-150.748670,-88.803010,25.307280,-89.720220,-35.209580,-25.771080,7.476300,-3.858820,-70.837660,-12.433050,14.489930,-21.736750,-54.125970,-43.495140,-77.102410,-18.393900,-33.568350,-17.614620,-4.558350,-50.712700,-7.948880,-64.685910
450,-19.916260,78.602190,95.591020,138.724760,-85.720280,51.896030,-0.409360,149.669760,93.104310,33.238220,21.622330,67.074610,19.917240,87.307060,103.607330,93.152640,75.712420,89.576190,133.107350,149.041060,-2.490550,-3.970160,-1.267520,-0.500740,-2.831240,4.681530,-6.786140,-1.165810,-3.921240,-3.271240,10.214140,-11.471820,-0.340000,-8.953670,-0.782850,-11.441780,-9.890830,1.630000,-9.190000,-13.778910,-8.110000,-9.150000,-4.668130,-9.584860,-9.910000,-8.820000,-2.854200,-10.327770,-7.575280,4.636140,-8.728540,7.877260,-6.051760,-3.032920,0.828170,-3.883640,-3.371490,-1.450000,-5.909470,-6.190670,45.721970,-28.238340,-194.925420,-339.869680,-110.773270,84.173850,-139.089870,-54.104690,-56.343970,15.540130,21.387440,-89.039640,-22.117950,51.612890,-52.571330,-112.216460,-20.765430,-48.681290,4.601290,-73.049760,32.893470,8.602460,-86.445590,-33.918350,-31.808130
500,-13.125230,84.109180,98.384370,129.264760,-81.950280,48.352160,-0.395280,152.508230,90.508960,29.485340,27.475370,66.754610,19.867240,89.247150,110.502710,92.232640,76.672420,104.482310,128.353370,156.122150,-2.490550,-3.750160,-3.820000,-0.500740,-1.587520,2.129050,-6.451790,-0.945810,-2.677520,-2.027520,10.214140,-11.471820,-0.340000,-8.733670,-0.782850,-11.441780,-9.890830,1.630000,-8.970000,-13.778910,-7.890000,-8.720000,-8.700900,-6.943660,-7.270960,-7.606610,-2.634200,-10.107770,-7.355280,4.636140,-6.117170,3.917900,-2.690000,-7.065690,0.828170,-7.916410,-3.151490,-1.230000,-9.942240,-2.828910,32.700960,-12.606980,-184.108510,-333.325270,-120.239870,74.480060,-133.261620,-59.645070,-71.063000,16.331500,9.827800,-76.602030,-18.230640,53.871190,-59.324540,-110.903620,-14.491310,-65.480960,-4.309550,-67.323310,24.766040,5.262020,-84.970080,-28.217110,-48.131420
