id,time,price,aggressing,aggressingOwner,direction,resting,restingOwner,volume
2,1,100.89,5,TRADER_RANDOM_01,SELL,3,TRADER_RANDOM_18,1
3,1,101.77,9,TRADER_RANDOM_19,SELL,7,TRADER_RANDOM_00,1
4,1,101.60,10,TRADER_RANDOM_08,SELL,8,TRADER_RANDOM_04,1
5,1,102.10,13,TRADER_Q_LEARNING_00,SELL,12,TRADER_RANDOM_06,1
6,1,102.04,14,TRADER_Q_LEARNING_01,SELL,11,TRADER_RANDOM_09,1
7,2,100.34,16,TRADER_Q_LEARNING_02,SELL,6,TRADER_RANDOM_12,1
8,2,100.13,17,TRADER_Q_LEARNING_03,SELL,4,TRADER_RANDOM_13,1
9,2,100.79,19,TRADER_RANDOM_16,SELL,18,TRADER_RANDOM_15,1
10,2,101.34,20,TRADER_FUNDAMENTAL_13,BUY,15,TRADER_RANDOM_13,1
11,2,101.82,23,TRADER_FUNDAMENTAL_19,SELL,21,TRADER_FUNDAMENTAL_09,1
13,3,100.06,28,TRADER_RANDOM_11,BUY,27,TRADER_FUNDAMENTAL_03,1
14,3,101.98,32,TRADER_RANDOM_04,SELL,30,TRADER_RANDOM_12,1
12,3,101.56,25,TRADER_Q_LEARNING_04,SELL,22,TRADER_RANDOM_03,1
15,3,102.43,35,TRADER_RANDOM_08,SELL,33,TRADER_RANDOM_01,1
16,3,101.94,37,TRADER_FUNDAMENTAL_07,SELL,29,TRADER_RANDOM_05,1
17,3,100.75,38,TRADER_FUNDAMENTAL_02,SELL,31,TRADER_RANDOM_14,1
18,4,99.81,41,TRADER_RANDOM_02,BUY,40,TRADER_RANDOM_00,1
19,4,101.68,42,TRADER_Q_LEARNING_03,BUY,39,TRADER_FUNDAMENTAL_11,1
20,4,100.88,45,TRADER_RANDOM_01,BUY,44,TRADER_RANDOM_19,1
21,4,107.73,48,TRADER_Q_LEARNING_04,BUY,46,TRADER_FUNDAMENTAL_12,1
22,4,101.32,50,TRADER_FUNDAMENTAL_08,SELL,47,TRADER_RANDOM_16,1
23,5,102.15,53,TRADER_RANDOM_14,SELL,52,TRADER_RANDOM_03,1
24,5,102.29,55,TRADER_Q_LEARNING_03,SELL,54,TRADER_RANDOM_17,1
25,5,102.34,57,TRADER_RANDOM_04,SELL,56,TRADER_RANDOM_18,1
26,5,104.57,59,TRADER_RANDOM_01,SELL,58,TRADER_FUNDAMENTAL_04,1
27,6,107.64,65,TRADER_MAO_51,BUY,51,TRADER_FUNDAMENTAL_06,1
28,6,105.40,68,TRADER_FUNDAMENTAL_03,SELL,63,TRADER_RANDOM_02,1
30,6,104.65,70,TRADER_FUNDAMENTAL_09,SELL,61,TRADER_RANDOM_10,1
29,6,104.76,69,TRADER_Q_LEARNING_04,SELL,62,TRADER_RANDOM_16,1
31,6,105.74,74,TRADER_RANDOM_14,SELL,71,TRADER_RANDOM_05,1
32,6,105.04,76,TRADER_Q_LEARNING_01,SELL,72,TRADER_RANDOM_02,1
33,6,104.84,77,TRADER_RANDOM_08,SELL,73,TRADER_RANDOM_12,1
35,6,96.16,81,TRADER_RANDOM_10,BUY,80,TRADER_FUNDAMENTAL_18,1
34,6,104.64,78,TRADER_FUNDAMENTAL_08,SELL,64,TRADER_RANDOM_08,1
36,7,95.60,84,TRADER_RANDOM_14,BUY,82,TRADER_RANDOM_06,1
37,7,95.27,86,TRADER_FUNDAMENTAL_05,BUY,85,TRADER_RANDOM_17,1
38,7,95.61,87,TRADER_RANDOM_00,BUY,83,TRADER_RANDOM_19,1
39,7,104.13,88,TRADER_Q_LEARNING_03,BUY,79,TRADER_RANDOM_16,1
40,7,104.64,90,TRADER_FUNDAMENTAL_19,SELL,89,TRADER_RANDOM_15,1
41,8,103.66,100,TRADER_FUNDAMENTAL_16,BUY,96,TRADER_RANDOM_06,1
42,8,102.98,103,TRADER_RANDOM_12,BUY,102,TRADER_RANDOM_15,1
43,8,102.32,107,TRADER_RANDOM_18,BUY,105,TRADER_RANDOM_08,1
45,9,103.13,111,TRADER_RANDOM_02,SELL,110,TRADER_RANDOM_14,1
44,9,102.51,108,TRADER_FUNDAMENTAL_10,BUY,104,TRADER_RANDOM_04,1
46,9,103.47,112,TRADER_FUNDAMENTAL_16,BUY,101,TRADER_RANDOM_11,1
47,9,103.75,114,TRADER_FUNDAMENTAL_00,BUY,95,TRADER_RANDOM_19,1
48,9,103.82,115,TRADER_Q_LEARNING_01,BUY,98,TRADER_RANDOM_14,1
49,9,104.09,117,TRADER_RANDOM_01,BUY,99,TRADER_RANDOM_00,1
50,10,104.04,118,TRADER_RANDOM_11,SELL,116,TRADER_RANDOM_18,1
51,10,104.10,119,TRADER_Q_LEARNING_03,BUY,97,TRADER_RANDOM_07,1
52,10,104.23,120,TRADER_Q_LEARNING_02,BUY,94,TRADER_RANDOM_01,1
53,10,107.31,124,TRADER_MAO_55,BUY,92,TRADER_FUNDAMENTAL_00,1
54,10,104.41,126,TRADER_Q_LEARNING_01,SELL,121,TRADER_RANDOM_17,1
55,10,104.35,127,TRADER_Q_LEARNING_00,SELL,122,TRADER_RANDOM_02,1
56,10,104.28,128,TRADER_RANDOM_13,SELL,123,TRADER_RANDOM_12,1
57,11,104.78,131,TRADER_Q_LEARNING_04,SELL,130,TRADER_RANDOM_02,1
58,11,105.32,136,TRADER_RANDOM_09,SELL,133,TRADER_RANDOM_04,1
59,12,106.27,139,TRADER_FUNDAMENTAL_10,BUY,134,TRADER_FUNDAMENTAL_15,1
60,12,107.21,141,TRADER_MAO_60,BUY,125,TRADER_RANDOM_04,1
61,12,107.01,142,TRADER_RANDOM_12,SELL,140,TRADER_RANDOM_18,1
62,12,106.05,146,TRADER_Q_LEARNING_03,SELL,138,TRADER_RANDOM_19,1
63,12,106.66,147,TRADER_RANDOM_08,BUY,145,TRADER_FUNDAMENTAL_01,1
64,12,107.26,148,TRADER_RANDOM_13,BUY,144,TRADER_FUNDAMENTAL_02,1
67,13,107.19,153,TRADER_Q_LEARNING_02,BUY,152,TRADER_RANDOM_09,1
66,13,107.66,151,TRADER_MAO_11,BUY,143,TRADER_FUNDAMENTAL_11,1
68,13,109.95,155,TRADER_MAO_19,BUY,91,TRADER_FUNDAMENTAL_04,1
65,13,106.77,150,TRADER_MAO_15,BUY,149,TRADER_RANDOM_19,1
69,13,108.89,159,TRADER_RANDOM_07,BUY,157,TRADER_RANDOM_14,1
70,13,108.92,160,TRADER_Q_LEARNING_04,BUY,158,TRADER_RANDOM_12,1
71,13,108.07,161,TRADER_FUNDAMENTAL_00,SELL,154,TRADER_RANDOM_00,1
72,14,108.91,166,TRADER_Q_LEARNING_04,SELL,165,TRADER_RANDOM_00,1
73,14,108.37,167,TRADER_FUNDAMENTAL_11,SELL,162,TRADER_RANDOM_04,1
74,14,108.30,169,TRADER_Q_LEARNING_03,BUY,168,TRADER_RANDOM_08,1
75,14,108.12,170,TRADER_FUNDAMENTAL_17,SELL,163,TRADER_RANDOM_06,1
76,15,108.07,174,TRADER_MAO_53,BUY,173,TRADER_RANDOM_06,1
77,15,105.61,179,TRADER_Q_LEARNING_04,SELL,137,TRADER_RANDOM_09,1
78,15,106.34,180,TRADER_Q_LEARNING_01,BUY,178,TRADER_FUNDAMENTAL_02,1
79,15,105.74,182,TRADER_FUNDAMENTAL_18,SELL,181,TRADER_FUNDAMENTAL_04,1
80,15,106.36,184,TRADER_Q_LEARNING_03,SELL,183,TRADER_RANDOM_11,1
